Estimate	Std. Error	t value	Pr(>|t|)	Dim	terms	run_type	test_type	p.val.fdr	p.val.bonfe
-1.4722777898364	0.670791291263073	-2.19483736448659	0.0363320530446183	Dim.1	year	3L	year	0.363320530446183	1
2.1272170948669	0.409909421055911	5.18948085991112	1.49801833301088e-05	Dim.2	year	3L	year	0.000449405499903263	0.000449405499903263
1.35804973528782	0.481232302754342	2.82202530361116	0.00852910678721308	Dim.3	year	3L	year	0.127936601808196	0.255873203616393
0.909031653061162	0.488844507394413	1.85955173743567	0.0731215388820116	Dim.4	year	3L	year	0.548411541615087	1
0.021901753702219	0.499391858467731	0.0438568497480506	0.965319103409807	Dim.5	year	3L	year	0.984250880837704	1
-0.138465148621562	0.482396759709792	-0.287035818202556	0.776125871542257	Dim.6	year	3L	year	0.984250880837704	1
0.290773535064987	0.478798227814063	0.607298686948997	0.548378807179275	Dim.7	year	3L	year	0.984250880837704	1
-0.103582540588862	0.462855528558417	-0.223790220053057	0.824489631356199	Dim.8	year	3L	year	0.984250880837704	1
-0.244597424809426	0.455093327468264	-0.537466515209418	0.595046001119875	Dim.9	year	3L	year	0.984250880837704	1
0.00895432467207255	0.44972162249038	0.0199108164345914	0.984250880837704	Dim.10	year	3L	year	0.984250880837704	1
-0.0726133754268472	0.445126850395031	-0.163129623302674	0.871547870512747	Dim.11	year	3L	year	0.984250880837704	1
0.131601291324737	0.439683272648258	0.299309297194976	0.766838706587856	Dim.12	year	3L	year	0.984250880837704	1
-0.0347937369969263	0.434025679038946	-0.0801651576790786	0.936656569689577	Dim.13	year	3L	year	0.984250880837704	1
-0.1384684052918	0.427715078238722	-0.323739826666844	0.748458265544604	Dim.14	year	3L	year	0.984250880837704	1
-0.100186543146299	0.422330070451984	-0.237223324020187	0.81415142045087	Dim.15	year	3L	year	0.984250880837704	1
-0.0713962459047421	0.418084259308672	-0.170769992687121	0.865590534362627	Dim.16	year	3L	year	0.984250880837704	1
-0.0448091668441515	0.416386782300971	-0.107614287361703	0.915042747192622	Dim.17	year	3L	year	0.984250880837704	1
0.0911645708732105	0.412020681737638	0.221262123271912	0.826438921543287	Dim.18	year	3L	year	0.984250880837704	1
0.0697819731458382	0.406894925349015	0.171498755080277	0.865022718832901	Dim.19	year	3L	year	0.984250880837704	1
0.0445232894261396	0.404210092897725	0.110148881011254	0.913050044265372	Dim.20	year	3L	year	0.984250880837704	1
0.108837870254038	0.399574825487684	0.272384202686445	0.787256699508669	Dim.21	year	3L	year	0.984250880837704	1
-0.0490295522091612	0.394690814335378	-0.124222683752401	0.901996014710302	Dim.22	year	3L	year	0.984250880837704	1
0.0312733400318796	0.392014821250443	0.0797759123803646	0.936963460447825	Dim.23	year	3L	year	0.984250880837704	1
-0.0484015685237194	0.382800412353653	-0.126440742908613	0.900255641868492	Dim.24	year	3L	year	0.984250880837704	1
-0.0913804008286746	0.379001471140665	-0.241108301119916	0.81116776583616	Dim.25	year	3L	year	0.984250880837704	1
-0.0570889969953562	0.366118985540667	-0.155930173659391	0.877168446614194	Dim.26	year	3L	year	0.984250880837704	1
0.0200265846969414	0.364248914654267	0.0549804924359212	0.956531043218132	Dim.27	year	3L	year	0.984250880837704	1
-0.102956252353412	0.358317994784749	-0.28733207333129	0.775901296048682	Dim.28	year	3L	year	0.984250880837704	1
-0.0547514635971286	0.340888893571495	-0.16061380886745	0.873511194812174	Dim.29	year	3L	year	0.984250880837704	1
-0.0820264018772097	0.324055595012181	-0.253124473515498	0.801957816060057	Dim.30	year	3L	year	0.984250880837704	1
12.571727716408	12.4866634526534	1.00681240942203	0.32235225079821	Dim.1	In_2L_t	3L	inv	0.955388497726804	1
-23.5188334937157	66.3204409451417	-0.35462420271255	0.725437047997108	Dim.1	In_2R_Ns	3L	inv	0.955388497726804	1
831.858507719297	279.158818621934	2.97987544088975	0.00578201727024795	Dim.1	In_3L_P	3L	inv	0.487865352958461	1
453.755074685548	211.852817007357	2.14184111920396	0.0407354970694501	Dim.1	In_3R_C	3L	inv	0.759409241752336	1
-94.7068712785544	87.8426570386199	-1.07814215178984	0.289856938376141	Dim.1	In_3R_Mo	3L	inv	0.955388497726804	1
3.39999828115669	65.5386359556359	0.0518777699837727	0.958981789798217	Dim.1	In_3R_Payne	3L	inv	0.981683343932648	1
-3.88078759520033	9.95700190563962	-0.389754630156519	0.699565802173475	Dim.2	In_2L_t	3L	inv	0.955388497726804	1
99.9807246807981	48.821805803886	2.04787027096897	0.0497238873167874	Dim.2	In_2R_Ns	3L	inv	0.813663610638339	1
77.2704182409101	250.322092893848	0.308683973306653	0.759768611181206	Dim.2	In_3L_P	3L	inv	0.955388497726804	1
-373.393112906121	165.21624584334	-2.26002661542241	0.0315037067339602	Dim.2	In_3R_C	3L	inv	0.759409241752336	1
29.8049083565052	70.185813230257	0.424657163388916	0.674220753142067	Dim.2	In_3R_Mo	3L	inv	0.955388497726804	1
-25.4747159577553	51.2901907463836	-0.49667812864493	0.623160312793936	Dim.2	In_3R_Payne	3L	inv	0.955388497726804	1
9.98994612924658	9.34547409475086	1.06896087110848	0.293904726652658	Dim.3	In_2L_t	3L	inv	0.955388497726804	1
11.8462040710753	49.8023763385818	0.237864233436147	0.813659006497259	Dim.3	In_2R_Ns	3L	inv	0.955388497726804	1
-319.109046179031	231.846536209669	-1.37638047734492	0.179239298932199	Dim.3	In_3L_P	3L	inv	0.887231893600728	1
232.363280887773	165.472319082065	1.40424260792848	0.17086648785427	Dim.3	In_3R_C	3L	inv	0.887231893600728	1
