sampleId	country
VA_ch_14_fall	USA
VA_ch_14_spring	USA
WI_cp_14_spring	USA
WI_cp_14_fall	USA
MA_la_14_fall	USA
MA_la_14_spring	USA
PA_li_14_fall	USA
PA_li_14_spring	USA
PA_st_14_fall	USA
PA_st_14_spring	USA
KA_to_14_fall	USA
KA_to_14_spring	USA
CA_st_12_fall	USA
CA_tu_12_fall	USA
CA_st_12_frost	USA
CA_tu_12_frost	USA
VA_ch_15_fall	USA
VA_ch_15_spring	USA
PA_li_15_fall	USA
PA_li_15_spring	USA
PA_st_15_spring	USA
ON_su_15_spring	Canada
ON_su_15_fall	Canada
IL_ur_15_spring	USA
CA_pl_12_frost	USA
CA_es_12_frost	USA
CA_es_13_spring	USA
CA_tu_13_spring	USA
CA_pl_13_fall	USA
CA_tu_13_fall	USA
CA_st_13_fall	USA
CA_es_13_fall	USA
CA_tu_13_frost	USA
CA_pl_13_frost	USA
