sampleId	sampleType
PA_st_15_spring	wild
ON_su_15_spring	wild
ON_su_15_fall	wild
IL_ur_15_spring	wild
CA_pl_12_frost	wild
CA_es_12_frost	wild
CA_es_13_spring	wild
CA_tu_13_spring	wild
CA_pl_13_fall	wild
CA_tu_13_fall	wild
CA_st_13_fall	wild
CA_es_13_fall	wild
CA_tu_13_frost	wild
CA_pl_13_frost	wild
