"name.library.x","replicate","forward_FASTQ_file","forward_file_loc","reverse_FASTQ_file","reverse_file_loc"
"LNPA-65_(SP)",5,"Plate_4_LNPA-65_SP__N707_N507_L002_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_4/FASTQ/Plate_4_LNPA-65_SP__N707_N507_L002_R1_001.fastq.gz","Plate_4_LNPA-65_SP__N707_N507_L002_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_4/FASTQ/Plate_4_LNPA-65_SP__N707_N507_L002_R2_001.fastq.gz"
"LNPA-65_(SP)",6,"Plate_4_LNPA-65_SP__N707_N507_L003_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_4/FASTQ/Plate_4_LNPA-65_SP__N707_N507_L003_R1_001.fastq.gz","Plate_4_LNPA-65_SP__N707_N507_L003_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_4/FASTQ/Plate_4_LNPA-65_SP__N707_N507_L003_R2_001.fastq.gz"
"LNPA-66",1,"N707-N504_S31_L001_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N707-N504_S31_L001_R1_001.fastq.gz","N707-N504_S31_L001_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N707-N504_S31_L001_R2_001.fastq.gz"
"LNPA-66",2,"N707-N504_S31_L002_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N707-N504_S31_L002_R1_001.fastq.gz","N707-N504_S31_L002_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N707-N504_S31_L002_R2_001.fastq.gz"
"LNPA-66",3,"N707-N504_S31_L003_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N707-N504_S31_L003_R1_001.fastq.gz","N707-N504_S31_L003_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N707-N504_S31_L003_R2_001.fastq.gz"
"LNPA-66",4,"N707-N504_S31_L004_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N707-N504_S31_L004_R1_001.fastq.gz","N707-N504_S31_L004_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N707-N504_S31_L004_R2_001.fastq.gz"
"LNPA-70",1,"N703-N504_S14_L001_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N703-N504_S14_L001_R1_001.fastq.gz","N703-N504_S14_L001_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N703-N504_S14_L001_R2_001.fastq.gz"
"LNPA-70",2,"N703-N504_S14_L002_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N703-N504_S14_L002_R1_001.fastq.gz","N703-N504_S14_L002_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N703-N504_S14_L002_R2_001.fastq.gz"
"LNPA-70",3,"N703-N504_S14_L003_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N703-N504_S14_L003_R1_001.fastq.gz","N703-N504_S14_L003_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N703-N504_S14_L003_R2_001.fastq.gz"
"LNPA-70",4,"N703-N504_S14_L004_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N703-N504_S14_L004_R1_001.fastq.gz","N703-N504_S14_L004_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N703-N504_S14_L004_R2_001.fastq.gz"
