"name.library","replicate","FASTQ_file","file_loc"
"24_9",3,"SRR1820311_1.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Meridian_MS/24_9/SRR1820311_1.fastq.gz"
"24_9",4,"SRR1820312_1.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Meridian_MS/24_9/SRR1820312_1.fastq.gz"
"24_9",5,"SRR1820313_1.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Meridian_MS/24_9/SRR1820313_1.fastq.gz"
"24_9",6,"SRR1820314_1.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Meridian_MS/24_9/SRR1820314_1.fastq.gz"
"24_9",7,"SRR1820315_1.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Meridian_MS/24_9/SRR1820315_1.fastq.gz"
"24_9",8,"SRR1820316_1.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Meridian_MS/24_9/SRR1820316_1.fastq.gz"
"24_9",9,"SRR1820317_1.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Meridian_MS/24_9/SRR1820317_1.fastq.gz"
"12BME10-112",1,"Plate_4_12BME10-112_N711_N507_L004_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_4/FASTQ/Plate_4_12BME10-112_N711_N507_L004_R1_001.fastq.gz"
"12BME10-280",1,"Plate_4_12BME10-280_N703_N517_L001_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_4/FASTQ/Plate_4_12BME10-280_N703_N517_L001_R1_001.fastq.gz"
"12BME10-221",1,"Plate_4_12BME10-221_N706_N517_L004_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_4/FASTQ/Plate_4_12BME10-221_N706_N517_L004_R1_001.fastq.gz"
"12BME10-277",1,"Plate_4_12BME10-277_N702_N503_L004_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_4/FASTQ/Plate_4_12BME10-277_N702_N503_L004_R1_001.fastq.gz"
"LNPA-92(SP)",1,"Plate_4_LNPA-92_SP__N708_N517_L002_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_4/FASTQ/Plate_4_LNPA-92_SP__N708_N517_L002_R1_001.fastq.gz"
"LNPA-92(SP)",2,"Plate_4_LNPA-92_SP__N708_N517_L003_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_4/FASTQ/Plate_4_LNPA-92_SP__N708_N517_L003_R1_001.fastq.gz"
"12LN6-41_(B47)",1,"Plate_4_12LN6-41_B47__N701_N508_L004_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_4/FASTQ/Plate_4_12LN6-41_B47__N701_N508_L004_R1_001.fastq.gz"
