sampleId	country	city	locality	collectionDate	nFlies	SRA_accession	SRA_experiment	type	PCA.set	FST.set	GLM.set	IND.set
CH_Cha_14_43	Switzerland	Chalet ð Gobet	CH_Cha	10/5/14	40	SRR5647758	SRX2885350	pooled	FALSE	FALSE	TRUE	FALSE
CH_Cha_15_39	Switzerland	Chalet ð Gobet	CH_Cha	8/1/15	40	SRR8439166	SRX5246542	pooled	FALSE	TRUE	TRUE	FALSE
CH_Cha_16_38	Switzerland	Chalet ð Gobet	CH_Cha	8/15/16	40	SRR8494459	SRX5299008	pooled	FALSE	FALSE	TRUE	FALSE
CY_Nic_14_11	Cyprus	Nicosia	CY_Nic	8/10/14	40	SRR5647756	SRX2885352	pooled	FALSE	TRUE	TRUE	FALSE
DE_Bro_14_14	Germany	Broggingen	DE_Bro	6/26/14	40	SRR5647762	SRX2885346	pooled	TRUE	TRUE	TRUE	FALSE
DE_Bro_14_15	Germany	Broggingen	DE_Bro	10/15/14	40	SRR5647761	SRX2885347	pooled	TRUE	TRUE	TRUE	FALSE
DE_Bro_15_53	Germany	Broggingen	DE_Bro	6/30/15	40	SRR8439148	SRX5246560	pooled	TRUE	TRUE	TRUE	FALSE
DE_Bro_15_54	Germany	Broggingen	DE_Bro	10/25/15	40	SRR8439144	SRX5246564	pooled	TRUE	TRUE	TRUE	FALSE
DE_Bro_16_10	Germany	Broggingen	DE_Bro	7/24/16	40	SRR8494434	SRX5299033	pooled	TRUE	TRUE	TRUE	FALSE
DE_Bro_16_11	Germany	Broggingen	DE_Bro	10/23/16	40	SRR8494452	SRX5299015	pooled	TRUE	FALSE	TRUE	FALSE
DE_Mun_14_31	Germany	Munich	DE_Mun	6/19/14	40	SRR5647744	SRX2885364	pooled	TRUE	TRUE	TRUE	FALSE
DE_Mun_14_32	Germany	Munich	DE_Mun	9/3/14	40	SRR5647745	SRX2885363	pooled	TRUE	TRUE	TRUE	FALSE
DE_Mun_15_45	Germany	Munich	DE_Mun	6/1/15	40	SRR8439125	SRX5246583	pooled	TRUE	TRUE	TRUE	FALSE
DE_Mun_15_46	Germany	Munich	DE_Mun	9/1/15	40	SRR8439124	SRX5246584	pooled	TRUE	TRUE	TRUE	FALSE
DE_Mun_16_12	Germany	Munich	DE_Mun	6/25/16	40	SRR8494451	SRX5299016	pooled	TRUE	TRUE	TRUE	FALSE
DE_Mun_16_13	Germany	Munich	DE_Mun	9/1/16	40	SRR8494454	SRX5299013	pooled	TRUE	FALSE	TRUE	FALSE
DK_Kar_14_39	Denmark	Karensminde	DK_Kar	9/1/14	40	SRR5647772	SRX2885336	pooled	FALSE	TRUE	TRUE	FALSE
DK_Kar_14_41	Denmark	Karensminde	DK_Kar	11/25/14	40	SRR5647771	SRX2885337	pooled	FALSE	FALSE	TRUE	FALSE
DK_Kar_16_2	Denmark	Karensminde Orchard	DK_Kar	6/8/16	40	SRR8494440	SRX5299027	pooled	FALSE	TRUE	TRUE	FALSE
DK_Kar_16_3	Denmark	Karensminde Orchard	DK_Kar	9/15/16	40	SRR8494438	SRX5299029	pooled	FALSE	TRUE	TRUE	FALSE
DK_Kar_16_4	Denmark	Karensminde Orchard	DK_Kar	11/22/16	40	SRR8494437	SRX5299030	pooled	FALSE	FALSE	TRUE	FALSE
ES_Ben_16_32	Spain	Benalua	ES_Ben	10/8/16	40	SRR8494475	SRX5298992	pooled	FALSE	TRUE	TRUE	FALSE
ES_Cor_15_33	Spain	Cortes de Baza	ES_Cor	8/8/15	40	SRR8439163	SRX5246545	pooled	FALSE	TRUE	TRUE	FALSE
ES_Gim_14_34	Spain	Gimenells	ES_Gim	10/20/14	40	SRR5647769	SRX2885339	pooled	FALSE	FALSE	TRUE	FALSE
ES_Gim_14_35	Spain	Gimenells	ES_Gim	8/13/14	40	SRR5647776	SRX2885332	pooled	FALSE	FALSE	TRUE	FALSE
ES_Gim_15_30	Spain	Gimenells	ES_Gim	6/28/15	40	SRR8439138	SRX5246570	pooled	FALSE	TRUE	TRUE	FALSE
ES_Gim_15_31	Spain	Gimenells	ES_Gim	10/22/15	40	SRR8439168	SRX5246540	pooled	FALSE	TRUE	TRUE	FALSE
