row,author,species,numInd,p/i,continent,country,state,city,lat,long,year,month,day,biosamp,sra,identifier
331, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,1,SAMN03452778,SRR2396848,Machado:Bowdoin:Maine:North_America:Oct:01:2011:F_15_1
332, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,1,SAMN03452779,SRR2396849,Machado:Bowdoin:Maine:North_America:Oct:01:2011:F_17_1
333, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,1,SAMN03452780,SRR2396850,Machado:Bowdoin:Maine:North_America:Oct:01:2011:F_19_1
334, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,1,SAMN03452781,SRR2396851,Machado:Bowdoin:Maine:North_America:Oct:01:2011:F_21_1
335, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,1,SAMN03452782,SRR2396852,Machado:Bowdoin:Maine:North_America:Oct:01:2011:F_23_1
336, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,1,SAMN03452783,SRR2396853,Machado:Bowdoin:Maine:North_America:Oct:01:2011:H_1_1
337, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,1,SAMN03452784,SRR2396854,Machado:Bowdoin:Maine:North_America:Oct:01:2011:H_3_1
338, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,1,SAMN03452785,SRR2396855,Machado:Bowdoin:Maine:North_America:Oct:01:2011:H_5_1
339, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,1,SAMN03452786,SRR2396856,Machado:Bowdoin:Maine:North_America:Oct:01:2011:H_7_1
340, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452787,SRR2396857,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:I_2_1
