Estimate,Std. Error,t value,P val,Var,chr,PC,signif
1.03,0.86,1.20,2.4E-01,year,2R,3,NS
0.07,0.07,0.90,3.8E-01,MeanEC,2R,3,NS
0.29,0.62,0.47,6.5E-01,Month,2R,3,NS
8.65,18.02,0.48,6.4E-01,In(2L)t,2R,3,NS
54.63,79.09,0.69,5.0E-01,In(2R)Ns,2R,3,NS
26.24,456.91,0.06,9.5E-01,In(3L)P,2R,3,NS
68.32,350.62,0.19,8.5E-01,In(3R)C,2R,3,NS
98.06,120.34,0.81,4.2E-01,In(3R)Mo,2R,3,NS
-117.46,66.27,-1.77,9.1E-02,In(3R)Payne,2R,3,NS
2.35,0.82,2.86,9.4E-03,year,3L,3,S
-0.05,0.07,-0.75,4.6E-01,MeanEC,3L,3,NS
-0.54,0.60,-0.91,3.8E-01,Month,3L,3,NS
0.28,17.26,0.02,9.9E-01,In(2L)t,3L,3,NS
-93.92,75.77,-1.24,2.3E-01,In(2R)Ns,3L,3,NS
-2.28,437.73,-0.01,1.0E+00,In(3L)P,3L,3,NS
-74.48,335.90,-0.22,8.3E-01,In(3R)C,3L,3,NS
-84.68,115.29,-0.73,4.7E-01,In(3R)Mo,3L,3,NS
106.64,63.49,1.68,1.1E-01,In(3R)Payne,3L,3,NS
1.53,0.94,1.62,1.2E-01,year,3R,3,NS
-0.05,0.08,-0.59,5.6E-01,MeanEC,3R,3,NS
-0.48,0.69,-0.69,4.9E-01,Month,3R,3,NS
-0.21,19.80,-0.01,9.9E-01,In(2L)t,3R,3,NS
-39.05,86.91,-0.45,6.6E-01,In(2R)Ns,3R,3,NS
18.41,502.06,0.04,9.7E-01,In(3L)P,3R,3,NS
-166.89,385.26,-0.43,6.7E-01,In(3R)C,3R,3,NS
-103.50,132.23,-0.78,4.4E-01,In(3R)Mo,3R,3,NS
111.10,72.82,1.53,1.4E-01,In(3R)Payne,3R,3,NS
