Estimate	Std. Error	t value	Pr(>|t|)	Dim	terms	run_type	test_type	p.val.fdr	p.val.bonfe
-2.05485464905109	0.777994901754377	-2.64121865634002	0.0131690382351701	Dim.1	year	2L	year	0.197535573527552	0.395071147055103
-0.0199712723145907	0.637271144265077	-0.031338736257425	0.975214092171277	Dim.2	year	2L	year	0.980135390927686	1
2.4756505394508	0.37068259918873	6.6786262556402	2.52206635188392e-07	Dim.3	year	2L	year	7.56619905565175e-06	7.56619905565175e-06
-0.925975807023851	0.516773905297693	-1.79183932766581	0.0835997927824221	Dim.4	year	2L	year	0.835997927824221	1
0.0129750183705996	0.516627613847714	0.0251148371144255	0.980135390927686	Dim.5	year	2L	year	0.980135390927686	1
-0.144394424072744	0.499656908630407	-0.288987146137015	0.774647035376667	Dim.6	year	2L	year	0.980135390927686	1
0.149210752265148	0.480101941772366	0.310789728769509	0.758183391271724	Dim.7	year	2L	year	0.980135390927686	1
-0.448718950059321	0.460733626488112	-0.973922727280899	0.338149196346326	Dim.8	year	2L	year	0.980135390927686	1
0.0867970817406161	0.460169120655032	0.188619961324358	0.851704472339477	Dim.9	year	2L	year	0.980135390927686	1
-0.0284829699069718	0.458280116928931	-0.0621518779776974	0.950868278148948	Dim.10	year	2L	year	0.980135390927686	1
0.122557466947656	0.447350952113807	0.273962682695884	0.786055280908376	Dim.11	year	2L	year	0.980135390927686	1
-0.028397068984629	0.445514446785169	-0.0637399509478137	0.94961462526037	Dim.12	year	2L	year	0.980135390927686	1
-0.0171330663405016	0.440545352323129	-0.0388905847040578	0.969244122756919	Dim.13	year	2L	year	0.980135390927686	1
-0.0759096998404615	0.431662989040798	-0.175854084708863	0.861630801081822	Dim.14	year	2L	year	0.980135390927686	1
0.0115187246488275	0.424479173864771	0.0271361361358498	0.978537032950462	Dim.15	year	2L	year	0.980135390927686	1
-0.0602414558832533	0.419804416994919	-0.143498861480494	0.886888707338723	Dim.16	year	2L	year	0.980135390927686	1
-0.276104821908934	0.413920671111822	-0.66704767647215	0.510014829824094	Dim.17	year	2L	year	0.980135390927686	1
