Estimate	Std. Error	t value	Pr(>|t|)	PC	variable	Samples	r_sq	P_bon_test
1.29755154302861	0.270220641987883	4.80182244214637	4.77593981117379e-06	1	year	all_pops	0.947953801811624	5.73112777340855e-05
-0.0684618669695575	0.118220747236803	-0.579101964500568	0.563652978930351	1	lat	all_pops	0.947953801811624	1
-0.453332899154157	0.0142419934301747	-31.8307195812683	7.44071618841206e-59	1	long	all_pops	0.947953801811624	8.92885942609447e-58
-0.0243225143035449	0.0324320898398902	-0.749952112972664	0.4548150849707	1	MeanEC	all_pops	0.947953801811624	1
-0.922210728809584	0.973021292133118	-0.94778062542481	0.347625068664645	1	year	Europe	0.602431448118433	1
0.0261004673928571	0.140246274944586	0.186104532210712	0.85308689726357	1	lat	Europe	0.602431448118433	1
-0.648814133984872	0.0735742198633072	-8.8184983162621	6.63315463925177e-12	1	long	Europe	0.602431448118433	7.95978556710212e-11
-0.00962042342476282	0.141524624207791	-0.0679770285815264	0.9460646344646	1	MeanEC	Europe	0.602431448118433	1
0.0462081179442645	0.115132379131409	0.401347720709598	0.68963905923465	1	year	NorthAmerica	0.944295873180759	1
-3.56070699268207	0.244736292231374	-14.5491580354407	5.17450636628265e-21	1	lat	NorthAmerica	0.944295873180759	6.20940763953918e-20
-0.572783313146831	0.0758662667203852	-7.54990772457405	3.48923943878944e-10	1	long	NorthAmerica	0.944295873180759	4.18708732654732e-09
-0.00222187879265476	0.00712718810306284	-0.311746899411835	0.756350779249678	1	MeanEC	NorthAmerica	0.944295873180759	1
1.57988483660383	0.494216514945194	3.19674634260053	0.00179499489853365	2	year	all_pops	0.091188258429489	0.0215399387824038
0.121470857006594	0.216218292073369	0.561797319929691	0.575347399580688	2	lat	all_pops	0.091188258429489	1
-0.0164388390507301	0.0260477079291704	-0.631105012979685	0.529224209942467	2	long	all_pops	0.091188258429489	1
0.0254494137349792	0.0593162472531567	0.429046254837452	0.668692239501461	2	MeanEC	all_pops	0.091188258429489	1
-3.2657157815465	1.75992382637579	-1.85560064168889	0.0691822130019581	2	year	Europe	0.356128763124761	0.830186556023497
0.440981518459717	0.253666351220668	1.73843127532552	0.0880532981459474	2	lat	Europe	0.356128763124761	1
0.620204207643163	0.133075220029955	4.66055368913579	2.23060779829335e-05	2	long	Europe	0.356128763124761	0.000267672935795202
0.178963630981452	0.255978528091755	0.699135323245953	0.4875829954865	2	MeanEC	Europe	0.356128763124761	1
-0.0116230160227098	0.130532560851938	-0.0890430398886732	0.929354464637991	2	year	NorthAmerica	0.958679966015069	1
-5.06829969100394	0.277472377443943	-18.2659612379898	9.94086998899784e-26	2	lat	NorthAmerica	0.958679966015069	1.19290439867974e-24
-1.06172776996338	0.0860141877723641	-12.3436353636593	7.22510993729253e-18	2	long	NorthAmerica	0.958679966015069	8.67013192475103e-17
-0.00056280001559466	0.00808052540723061	-0.0696489383092659	0.944712666665253	2	MeanEC	NorthAmerica	0.958679966015069	1
2.90971552377163	0.264630943700494	10.9953714523454	1.17705515894785e-19	3	year	all_pops	0.638963851359293	1.41246619073741e-18
-0.709908464743292	0.115775270446051	-6.13177980071396	1.25916162962403e-08	3	lat	all_pops	0.638963851359293	1.51099395554884e-07
0.0876691152846383	0.0139473880821154	6.28570129177487	6.04886835332872e-09	3	long	all_pops	0.638963851359293	7.25864202399446e-08
-0.0110717633742553	0.0317612099407795	-0.348593878976878	0.728031600158039	3	MeanEC	all_pops	0.638963851359293	1
1.88902945364108	0.923567646231947	2.04536122648743	0.045894059157858	3	year	Europe	0.376341218546891	0.550728709894296
-0.601610133717798	0.13311828126537	-4.51936524419583	3.60747116455306e-05	3	lat	Europe	0.376341218546891	0.000432896539746368
0.113707546378726	0.0698348223331685	1.62823563631692	0.109519470156775	3	long	Europe	0.376341218546891	1
-0.136776093046005	0.13433165863915	-1.01819700904179	0.313298399695195	3	MeanEC	Europe	0.376341218546891	1
0.27384716335513	0.256348293775898	1.06826208718412	0.289828425757232	3	year	NorthAmerica	0.937057107026368	1
-7.50307346238063	0.544918218592052	-13.7691734399465	6.24122887532925e-20	3	lat	NorthAmerica	0.937057107026368	7.4894746503951e-19
-1.66355302760964	0.168920230569719	-9.84815745277493	5.45544064171917e-14	3	long	NorthAmerica	0.937057107026368	6.54652877006301e-13
0.00742625347469107	0.0158690589339311	0.467970627975444	0.641559371829881	3	MeanEC	NorthAmerica	0.937057107026368	1
1.22255130182042	0.302281828441032	4.04440884893916	9.52767476434119e-05	4	year	all_pops	0.415947033431191	0.00114332097172094
1.13675790539391	0.132247423333441	8.59569038655482	4.75903729493261e-14	4	lat	all_pops	0.415947033431191	5.71084475391913e-13
-0.0649226097611701	0.0159317799818987	-4.07503805820401	8.49564747278801e-05	4	long	all_pops	0.415947033431191	0.00101947769673456
-0.00139536504844743	0.0362800981629132	-0.0384608950665358	0.969386897118461	4	MeanEC	all_pops	0.415947033431191	1
-3.3361129266625	0.666658258549433	-5.00423250425409	6.78604292801003e-06	4	year	Europe	0.84732325152083	8.14325151361204e-05
1.01055668252431	0.0960886860118285	10.5169164494549	1.77171248368174e-14	4	lat	Europe	0.84732325152083	2.12605498041809e-13
-0.576771459558759	0.0504088262865013	-11.4418744106567	8.10685420230873e-16	4	long	Europe	0.84732325152083	9.72822504277048e-15
0.0622894222269677	0.0969645374454163	0.642393846946694	0.523439772761897	4	MeanEC	Europe	0.84732325152083	1
0.67330668502956	0.273272646805741	2.46386417703996	0.0167312102196812	4	year	NorthAmerica	0.588590115328284	0.200774522636174
-1.28476215504357	0.580894226733176	-2.21169723491451	0.0309415024699171	4	lat	NorthAmerica	0.588590115328284	0.371298029639005
