Run	Collection_Date	Sample.Name	sex
SRR14481699	7/22/16	CM_038_0722	male
SRR14481700	6/24/16	CM_038_0624	male
SRR14481701	10/28/16	CM_037_1028	male
SRR14481702	10/3/16	CM_037_1003	male
SRR14481703	10/28/16	CM_005_1028	male
SRR14481704	7/22/16	CM_037_0722	male
SRR14481705	6/24/16	CM_037_0624	male
SRR14481706	9/16/16	CM_036_0916	male
SRR14481707	7/8/16	CM_036_0708	male
SRR14481708	12/3/16	CM_035_1203	male
SRR14481709	11/11/16	CM_035_1111	male
SRR14481710	9/16/16	CM_035_0916	male
SRR14481711	8/19/16	CM_035_0819	male
SRR14481712	7/22/16	CM_035_0722	male
SRR14481713	9/16/16	CM_002_0916	male
SRR14481714	8/19/16	CM_012_0819	male
SRR14481716	10/28/16	CM_011_1028	male
SRR14481717	10/3/16	CM_011_1003	male
SRR14481718	8/19/16	CM_011_0819	male
SRR14481719	7/22/16	CM_011_0722	male
SRR14481721	10/3/16	CM_010_1003	male
SRR14481722	8/19/16	CM_010_0819	male
SRR14481724	7/8/16	CM_003_0708	male
SRR14481725	6/24/16	CM_010_0624	male
SRR14481726	9/16/16	CM_009_0916	male
SRR14481727	8/19/16	CM_009_0819	male
SRR14481729	12/19/16	CM_Dec19_1	male
SRR14481730	10/14/16	CM_179_1014	male
SRR14481731	9/2/16	CM_179_0902	male
SRR14481732	9/2/16	CM_175_0902	male
SRR14481733	7/8/16	CM_009_0708	male
SRR14481734	9/2/16	CM_168_0902	male
SRR14481735	10/28/16	CM_165_1028	male
SRR14481736	9/2/16	CM_165_0902	male
SRR14481738	9/16/16	CM_163_0916	male
SRR14481739	9/2/16	CM_162_0902	male
SRR14481741	10/28/16	CM_154_1028	male
SRR14481742	9/2/16	CM_154_0902	male
SRR14481743	10/28/16	CM_149_1028	male
SRR14481744	6/24/16	CM_009_0624	male
SRR14481745	9/16/16	CM_149_0916	male
SRR14481746	10/14/16	CM_147_1014	male
SRR14481747	9/2/16	CM_147_0902	male
SRR14481749	9/16/16	CM_145_0916	male
SRR14481750	10/28/16	CM_142_1028	male
SRR14481751	10/14/16	CM_141_1014	male
SRR14481752	10/14/16	CM_139_1014	male
SRR14481753	11/11/16	CM_137_1111	male
SRR14481754	11/11/16	CM_136_1111	male
SRR14481755	7/22/16	CM_008_0722	male
SRR14481756	11/11/16	CM_134_1111	male
SRR14481757	10/28/16	CM_134_1028	male
SRR14481758	11/11/16	CM_129_1111	male
SRR14481759	9/16/16	CM_128_0916	male
SRR14481760	11/11/16	CM_127_1111	male
SRR14481761	10/28/16	CM_127_1028	male
SRR14481762	9/16/16	CM_126_0916	male
SRR14481763	10/28/16	CM_125_1028	male
SRR14481765	10/28/16	CM_121_1028	male
SRR14481766	6/24/16	CM_008_0624	male
SRR14481767	10/14/16	CM_119_1014	male
SRR14481768	11/11/16	CM_118_1111	male
SRR14481769	10/14/16	CM_118_1014	male
SRR14481770	9/2/16	CM_115_0902	male
SRR14481771	10/14/16	CM_113_1014	male
SRR14481772	9/16/16	CM_106_0916	male
SRR14481774	11/11/16	CM_103_1111	male
SRR14481775	10/28/16	CM_103_1028	male
SRR14481776	9/16/16	CM_102_0916	male
SRR14481778	10/14/16	CM_100_1014	male
SRR14481779	11/11/16	CM_097_1111	male
SRR14481780	9/2/16	CM_097_0902	male
SRR14481781	10/14/16	CM_096_1014	male
SRR14481782	9/16/16	CM_096_0916	male
SRR14481783	9/16/16	CM_093_0916	male
SRR14481784	10/14/16	CM_091_1014	male
SRR14481785	12/3/16	CM_089_1203	male
SRR14481786	11/11/16	CM_087_1111	male
SRR14481787	12/3/16	CM_086_1203	male
SRR14481788	7/22/16	CM_007_0722	male
SRR14481789	10/14/16	CM_086_1014	male
SRR14481790	9/16/16	CM_086_0916	male
SRR14481791	10/28/16	CM_085_1028	male
SRR14481792	10/14/16	CM_084_1014	male
SRR14481794	10/14/16	CM_083_1014	male
SRR14481795	10/28/16	CM_081_1028	male
SRR14481796	12/3/16	CM_080_1203	male
SRR14481797	9/2/16	CM_080_0902	male
SRR14481798	10/14/16	CM_079_1014	male
SRR14481799	11/11/16	CM_006_1111	male
SRR14481800	7/22/16	CM_003_0722	male
SRR14481801	9/2/16	CM_012_0902	male
SRR14481586	10/3/16	CM_022_1003	male
SRR14481620	8/19/16	CM_014_0819	male
SRR14481629	9/2/16	CM_078_0902	male
SRR14481667	10/3/16	CM_053_1003	male
