Plate,Well,Date,Location,sample ID,Cage,Population,Swarm,Season
OW2,F12,6.4.2019,Morven Isofemale,3.18,3,Morven,A,spring
OW2,G1,6.4.2019,Morven Isofemale,3.19,3,Morven,A,spring
OW2,G2,6.4.2019,Morven Isofemale,3.20,3,Morven,A,spring
OW2,G3,6.4.2019,Morven Isofemale,3.21,3,Morven,A,spring
OW2,G4,6.4.2019,Morven Isofemale,3.23,3,Morven,A,spring
OW2,G5,6.4.2019,Morven Isofemale,3.24,3,Morven,A,spring
OW2,G6,6.4.2019,Morven Isofemale,3.25,3,Morven,A,spring
OW2,G7,6.4.2019,Morven Isofemale,3.27,3,Morven,A,spring
OW2,G8,6.4.2019,Morven Isofemale,3.28,3,Morven,A,spring
OW2,G9,6.4.2019,Morven Isofemale,3.29,3,Morven,A,spring
OW2,G10,6.4.2019,Morven Isofemale,3.30,3,Morven,A,spring
OW2,G11,6.4.2019,Morven Isofemale,4.2,4,Morven,B,spring
OW2,G12,6.4.2019,Morven Isofemale,4.1,4,Morven,B,spring
OW2,H1,6.4.2019,Morven Isofemale,4.3,4,Morven,B,spring
OW2,H2,6.4.2019,Morven Isofemale,4.5,4,Morven,B,spring
OW2,H3,6.4.2019,Morven Isofemale,4.6,4,Morven,B,spring
OW2,H4,6.4.2019,Morven Isofemale,4.7,4,Morven,B,spring
OW2,H5,6.4.2019,Morven Isofemale,4.8,4,Morven,B,spring
OW2,H6,6.4.2019,Morven Isofemale,4.9,4,Morven,B,spring
OW2,H7,6.4.2019,Morven Isofemale,4.10,4,Morven,B,spring
OW2,H8,6.4.2019,Morven Isofemale,4.11,4,Morven,B,spring
OW2,H9,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
OW2,H10,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
OW2,H11,6.4.2019,Morven Isofemale,4.12,4,Morven,B,spring
OW2,H12,6.4.2019,Morven Isofemale,4.14,4,Morven,B,spring
OW3,A1,6.4.2019,Morven Isofemale,4.15,4,Morven,B,spring
OW3,A2,6.4.2019,Morven Isofemale,4.16,4,Morven,B,spring
OW3,A3,6.4.2019,Morven Isofemale,4.17,4,Morven,B,spring
OW3,A4,6.4.2019,Morven Isofemale,6.1,6,Morven,B,spring
OW3,A5,6.4.2019,Morven Isofemale,6.2,6,Morven,B,spring
OW3,A6,6.4.2019,Morven Isofemale,6.3,6,Morven,B,spring
OW3,A7,6.4.2019,Morven Isofemale,6.4,6,Morven,B,spring
OW3,A8,6.4.2019,Morven Isofemale,6.5,6,Morven,B,spring
OW3,A9,6.4.2019,Morven Isofemale,6.6,6,Morven,B,spring
OW3,A10,6.4.2019,Morven Isofemale,6.7,6,Morven,B,spring
OW3,A11,6.4.2019,Morven Isofemale,6.8,6,Morven,B,spring
OW3,A12,6.4.2019,Morven Isofemale,6.9,6,Morven,B,spring
OW3,B1,6.4.2019,Morven Isofemale,6.10,6,Morven,B,spring
OW3,B2,6.4.2019,Morven Isofemale,6.12,6,Morven,B,spring
OW3,B3,6.4.2019,Morven Isofemale,6.13,6,Morven,B,spring
OW3,B4,6.4.2019,Morven Isofemale,6.14,6,Morven,B,spring
OW3,B5,6.4.2019,Morven Isofemale,6.15,6,Morven,B,spring
OW3,B6,6.4.2019,Morven Isofemale,6.16,6,Morven,B,spring
OW3,B7,6.4.2019,Morven Isofemale,6.17,6,Morven,B,spring
OW3,B8,6.4.2019,Morven Isofemale,6.18,6,Morven,B,spring
OW3,B9,6.4.2019,Morven Isofemale,6.19,6,Morven,B,spring
OW3,B10,6.4.2019,Morven Isofemale,6.20,6,Morven,B,spring
OW3,B11,6.4.2019,Morven Isofemale,6.21,6,Morven,B,spring
OW3,B12,6.4.2019,Morven Isofemale,6.22,6,Morven,B,spring
OW3,C1,6.4.2019,Morven Isofemale,6.23,6,Morven,B,spring
OW3,C2,6.4.2019,Morven Isofemale,6.24,6,Morven,B,spring
OW3,C3,6.4.2019,Morven Isofemale,6.25,6,Morven,B,spring
OW3,C4,6.4.2019,Morven Isofemale,6.27,6,Morven,B,spring
OW3,C5,6.4.2019,Morven Isofemale,6.28,6,Morven,B,spring
OW3,C6,11.30.2018,Morven Wild Cage,2.1,2,Morven,B,fall
OW3,C7,11.30.2018,Morven Wild Cage,2.2,2,Morven,B,fall
OW3,C8,11.30.2018,Morven Wild Cage,2.3,2,Morven,B,fall
OW3,C9,11.30.2018,Morven Wild Cage,2.4,2,Morven,B,fall
OW3,C10,11.30.2018,Morven Wild Cage,2.5,2,Morven,B,fall
OW3,C11,11.30.2018,Morven Wild Cage,2.6,2,Morven,B,fall
OW3,C12,11.30.2018,Morven Wild Cage,2.7,2,Morven,B,fall
OW3,D1,11.30.2018,Morven Wild Cage,2.8,2,Morven,B,fall
OW3,D2,11.30.2018,Morven Wild Cage,2.9,2,Morven,B,fall
OW3,D3,11.30.2018,Morven Wild Cage,2.10,2,Morven,B,fall
OW3,D4,11.30.2018,Morven Wild Cage,3.1,3,Morven,A,fall
OW3,D5,11.30.2018,Morven Wild Cage,3.2,3,Morven,A,fall
OW3,D6,11.30.2018,Morven Wild Cage,3.3,3,Morven,A,fall
OW3,D7,11.30.2018,Morven Wild Cage,3.4,3,Morven,A,fall
OW3,D8,11.30.2018,Morven Wild Cage,3.5,3,Morven,A,fall
OW3,D9,11.30.2018,Morven Wild Cage,3.6,3,Morven,A,fall
OW3,D10,11.30.2018,Morven Wild Cage,3.7,3,Morven,A,fall
OW3,D11,11.30.2018,Morven Wild Cage,3.8,3,Morven,A,fall
OW3,D12,11.30.2018,Morven Wild Cage,3.9,3,Morven,A,fall
OW3,E1,11.30.2018,Morven Wild Cage,3.10,3,Morven,A,fall
OW3,E2,11.30.2018,Morven Wild Cage,3.11,3,Morven,A,fall
OW3,E3,11.30.2018,Morven Wild Cage,3.12,3,Morven,A,fall
OW3,E4,11.30.2018,Morven Wild Cage,3.13,3,Morven,A,fall
OW3,E5,11.30.2018,Morven Wild Cage,3.14,3,Morven,A,fall
OW3,E6,11.30.2018,Morven Wild Cage,3.15,3,Morven,A,fall
OW3,E7,11.30.2018,Morven Wild Cage,3.16,3,Morven,A,fall
OW3,E8,11.30.2018,Morven Wild Cage,3.17,3,Morven,A,fall
OW3,E9,11.30.2018,Morven Wild Cage,3.18,3,Morven,A,fall
OW3,E10,11.30.2018,Morven Wild Cage,3.19,3,Morven,A,fall
OW3,E11,11.30.2018,Morven Wild Cage,3.20,3,Morven,A,fall
OW3,E12,11.30.2018,Morven Wild Cage,4.1,4,Morven,B,fall
OW3,F1,11.30.2018,Morven Wild Cage,4.2,4,Morven,B,fall
OW3,F2,11.30.2018,Morven Wild Cage,4.3,4,Morven,B,fall
OW3,F3,11.30.2018,Morven Wild Cage,4.4,4,Morven,B,fall
OW3,F4,11.30.2018,Morven Wild Cage,4.5,4,Morven,B,fall
OW3,F5,11.30.2018,Morven Wild Cage,4.6,4,Morven,B,fall
OW3,F6,11.30.2018,Morven Wild Cage,4.7,4,Morven,B,fall
OW3,F7,11.30.2018,Morven Wild Cage,4.8,4,Morven,B,fall
OW3,F8,11.30.2018,Morven Wild Cage,4.9,4,Morven,B,fall
OW3,F9,11.30.2018,Morven Wild Cage,4.10,4,Morven,B,fall
OW3,F10,11.30.2018,Morven Wild Cage,4.11,4,Morven,B,fall
OW3,F11,11.30.2018,Morven Wild Cage,4.12,4,Morven,B,fall
OW3,F12,11.30.2018,Morven Wild Cage,4.13,4,Morven,B,fall
OW3,G1,11.30.2018,Morven Wild Cage,4.14,4,Morven,B,fall
OW3,G2,11.30.2018,Morven Wild Cage,4.15,4,Morven,B,fall
OW3,G3,11.30.2018,Morven Wild Cage,6.1,6,Morven,B,fall
OW3,G4,11.30.2018,Morven Wild Cage,6.2,6,Morven,B,fall
OW3,G5,11.30.2018,Morven Wild Cage,6.3,6,Morven,B,fall
OW3,G6,11.30.2018,Morven Wild Cage,6.4,6,Morven,B,fall
OW3,G7,11.30.2018,Morven Wild Cage,6.5,6,Morven,B,fall
OW3,G8,11.30.2018,Morven Wild Cage,6.6,6,Morven,B,fall
OW3,G9,11.30.2018,Morven Wild Cage,6.7,6,Morven,B,fall
OW3,G10,11.30.2018,Morven Wild Cage,6.8,6,Morven,B,fall
OW3,G11,11.30.2018,Morven Wild Cage,6.9,6,Morven,B,fall
OW3,G12,11.30.2018,Morven Wild Cage,6.10,6,Morven,B,fall
OW3,H1,11.30.2018,Morven Wild Cage,6.11,6,Morven,B,fall
OW3,H2,11.30.2018,Morven Wild Cage,6.12,6,Morven,B,fall
OW3,H3,11.30.2018,Morven Wild Cage,6.13,6,Morven,B,fall
OW3,H4,11.30.2018,Morven Wild Cage,6.14,6,Morven,B,fall
OW3,H5,11.30.2018,Morven Wild Cage,6.15,6,Morven,B,fall
OW3,H6,11.30.2018,Morven Wild Cage,6.16,6,Morven,B,fall
OW3,H7,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
OW3,H8,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
OW3,H9,11.30.2018,Morven Wild Cage,6.17,6,Morven,B,fall
OW3,H10,11.30.2018,Morven Wild Cage,6.18,6,Morven,B,fall
OW3,H11,11.30.2018,Morven Wild Cage,6.19,6,Morven,B,fall
OW3,H12,11.30.2018,Morven Wild Cage,6.20,6,Morven,B,fall
