Sample	SRR
DenisAT3	SRS2378223
DenisAT3	SRS2378223
DenisAT3	SRS2378223
DenisAT3	SRS2378223
DenisAT3	SRS2378223
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF100	SRS2378213
DenisNF100	SRS2378213
DenisNF100	SRS2378213
DenisNF100	SRS2378213
DenisNF100	SRS2378213
DenisNF100	SRS2378213
DenisNF100	SRS2378213
DenisNF100	SRS2378213
DenisNF100	SRS2378213
DenisNF100	SRS2378213
DenisNF100	SRS2378213
DenisNF100	SRS2378213
DenisNF100	SRS2378213
DenisNF100	SRS2378213
DenisNF100	SRS2378213
DenisNF100	SRS2378213
DenisNF100	SRS2378213
DenisNF100	SRS2378213
DenisNF100	SRS2378213
DenisNF100	SRS2378213
DenisNF100	SRS2378213
DenisNF100	SRS2378213
DenisNF100	SRS2378213
DenisNF123	SRS2378212
DenisNF123	SRS2378212
DenisNF123	SRS2378212
DenisNF123	SRS2378212
DenisNF123	SRS2378212
DenisNF123	SRS2378212
DenisNF123	SRS2378212
DenisNF123	SRS2378212
DenisNF123	SRS2378212
DenisNF123	SRS2378212
DenisNF123	SRS2378212
DenisNF123	SRS2378212
DenisNF123	SRS2378212
DenisNF123	SRS2378212
DenisNF123	SRS2378212
DenisNF123	SRS2378212
DenisNF123	SRS2378212
DenisNF123	SRS2378212
DenisNF123	SRS2378212
DenisNF123	SRS2378212
DenisNF123	SRS2378212
DenisNF123	SRS2378212
DenisNF123	SRS2378212
DenisAMT	SRS2378209
DenisAMT	SRS2378209
DenisAMT	SRS2378209
DenisAMT	SRS2378209
DenisAMT	SRS2378209
DenisAMT	SRS2378209
DenisAMT	SRS2378209
DenisAMT	SRS2378209
DenisAMT	SRS2378209
DenisAMT	SRS2378209
DenisAMT	SRS2378209
DenisAMT	SRS2378209
DenisAMT	SRS2378209
DenisAMT	SRS2378209
DenisAMT	SRS2378209
DenisAMT	SRS2378209
DenisAMT	SRS2378209
DenisAMT	SRS2378209
DenisAMT	SRS2378209
DenisAMT	SRS2378209
DenisAMT	SRS2378209
DenisAMT	SRS2378209
DenisAMT	SRS2378209
DenisNF134	SRS2378208
DenisNF134	SRS2378208
DenisNF134	SRS2378208
DenisNF134	SRS2378208
DenisNF134	SRS2378208
DenisNF134	SRS2378208
DenisNF134	SRS2378208
DenisNF134	SRS2378208
DenisNF134	SRS2378208
DenisNF134	SRS2378208
DenisNF134	SRS2378208
DenisNF134	SRS2378208
DenisNF134	SRS2378208
DenisNF134	SRS2378208
DenisNF134	SRS2378208
DenisNF134	SRS2378208
DenisNF134	SRS2378208
DenisNF134	SRS2378208
DenisNF134	SRS2378208
DenisNF134	SRS2378208
DenisNF134	SRS2378208
DenisNF134	SRS2378208
DenisNF134	SRS2378208
Anro_B7	SRS2378207
Anro_B7	SRS2378207
Anro_B7	SRS2378207
Anro_B7	SRS2378207
Anro_B7	SRS2378207
Anro_B7	SRS2378207
Anro_B7	SRS2378207
Anro_B7	SRS2378207
Anro_B7	SRS2378207
Anro_B7	SRS2378207
Anro_B7	SRS2378207
Anro_B7	SRS2378207
Anro_B7	SRS2378207
Anro_B7	SRS2378207
Anro_B7	SRS2378207
Anro_B7	SRS2378207
Anro_B7	SRS2378207
Anro_B7	SRS2378207
Anro_B7	SRS2378207
Anro_B7	SRS2378207
Anro_B7	SRS2378207
Anro_B7	SRS2378207
Anro_B7	SRS2378207
Anro_B7	SRS2378207
Anro_B7	SRS2378207
Anro_B7	SRS2378207
LD16	SRS2378196
LD16	SRS2378196
LD16	SRS2378196
LD16	SRS2378196
LD16	SRS2378196
LD16	SRS2378196
LD16	SRS2378196
LD16	SRS2378196
LD16	SRS2378196
LD16	SRS2378196
LD16	SRS2378196
LD16	SRS2378196
LD16	SRS2378196
LD16	SRS2378196
LD16	SRS2378196
LD16	SRS2378196
LD16	SRS2378196
LD16	SRS2378196
LD16	SRS2378196
LD16	SRS2378196
LD16	SRS2378196
LD16	SRS2378196
LD16	SRS2378196
LD16	SRS2378196
LD16	SRS2378196
LD16	SRS2378196
LD13	SRS2378195
LD13	SRS2378195
LD13	SRS2378195
LD13	SRS2378195
LD13	SRS2378195
LD13	SRS2378195
LD13	SRS2378195
LD13	SRS2378195
LD13	SRS2378195
LD13	SRS2378195
LD13	SRS2378195
LD13	SRS2378195
LD13	SRS2378195
LD13	SRS2378195
LD13	SRS2378195
LD13	SRS2378195
LD13	SRS2378195
LD13	SRS2378195
LD13	SRS2378195
LD13	SRS2378195
LD13	SRS2378195
LD13	SRS2378195
LD13	SRS2378195
LD13	SRS2378195
LD13	SRS2378195
LD13	SRS2378195
LD14	SRS2378194
LD14	SRS2378194
LD14	SRS2378194
LD14	SRS2378194
LD14	SRS2378194
LD14	SRS2378194
LD14	SRS2378194
LD14	SRS2378194
LD14	SRS2378194
LD14	SRS2378194
LD14	SRS2378194
LD14	SRS2378194
LD14	SRS2378194
LD14	SRS2378194
LD14	SRS2378194
LD14	SRS2378194
LD14	SRS2378194
LD14	SRS2378194
LD14	SRS2378194
LD14	SRS2378194
LD14	SRS2378194
LD14	SRS2378194
LD14	SRS2378194
LD14	SRS2378194
LD14	SRS2378194
LD14	SRS2378194
mariane_1	SRS2378193
mariane_1	SRS2378193
mariane_1	SRS2378193
mariane_1	SRS2378193
mariane_1	SRS2378193
mariane_1	SRS2378193
mariane_1	SRS2378193
mariane_1	SRS2378193
mariane_1	SRS2378193
mariane_1	SRS2378193
mariane_1	SRS2378193
mariane_1	SRS2378193
mariane_1	SRS2378193
mariane_1	SRS2378193
mariane_1	SRS2378193
mariane_1	SRS2378193
mariane_1	SRS2378193
mariane_1	SRS2378193
mariane_1	SRS2378193
mariane_1	SRS2378193
mariane_1	SRS2378193
mariane_1	SRS2378193
mariane_1	SRS2378193
mariane_1	SRS2378193
mariane_1	SRS2378193
mariane_1	SRS2378193
Anro_B1	SRS2378192
Anro_B1	SRS2378192
Anro_B1	SRS2378192
Anro_B1	SRS2378192
Anro_B1	SRS2378192
Anro_B1	SRS2378192
Anro_B1	SRS2378192
Anro_B1	SRS2378192
Anro_B1	SRS2378192
Anro_B1	SRS2378192
Anro_B1	SRS2378192
Anro_B1	SRS2378192
Anro_B1	SRS2378192
Anro_B1	SRS2378192
Anro_B1	SRS2378192
Anro_B1	SRS2378192
Anro_B1	SRS2378192
Anro_B1	SRS2378192
Anro_B1	SRS2378192
Anro_B1	SRS2378192
Anro_B1	SRS2378192
Anro_B1	SRS2378192
Anro_B1	SRS2378192
Anro_B1	SRS2378192
Anro_B1	SRS2378192
Anro_B1	SRS2378192
Anro_B2	SRS2378191
Anro_B2	SRS2378191
Anro_B2	SRS2378191
Anro_B2	SRS2378191
Anro_B2	SRS2378191
Anro_B2	SRS2378191
Anro_B2	SRS2378191
Anro_B2	SRS2378191
Anro_B2	SRS2378191
Anro_B2	SRS2378191
Anro_B2	SRS2378191
Anro_B2	SRS2378191
Anro_B2	SRS2378191
Anro_B2	SRS2378191
Anro_B2	SRS2378191
Anro_B2	SRS2378191
Anro_B2	SRS2378191
Anro_B2	SRS2378191
Anro_B2	SRS2378191
Anro_B2	SRS2378191
Anro_B2	SRS2378191
Anro_B2	SRS2378191
Anro_B2	SRS2378191
Anro_B2	SRS2378191
Anro_B2	SRS2378191
Anro_B2	SRS2378191
LD12	SRS2378190
LD12	SRS2378190
LD12	SRS2378190
LD12	SRS2378190
LD12	SRS2378190
LD12	SRS2378190
LD12	SRS2378190
LD12	SRS2378190
LD12	SRS2378190
LD12	SRS2378190
LD12	SRS2378190
LD12	SRS2378190
LD12	SRS2378190
LD12	SRS2378190
LD12	SRS2378190
LD12	SRS2378190
LD12	SRS2378190
LD12	SRS2378190
LD12	SRS2378190
LD12	SRS2378190
LD12	SRS2378190
LD12	SRS2378190
LD12	SRS2378190
LD12	SRS2378190
LD12	SRS2378190
LD12	SRS2378190
Anro_B6	SRS2378189
Anro_B6	SRS2378189
Anro_B6	SRS2378189
Anro_B6	SRS2378189
Anro_B6	SRS2378189
Anro_B6	SRS2378189
Anro_B6	SRS2378189
Anro_B6	SRS2378189
Anro_B6	SRS2378189
Anro_B6	SRS2378189
Anro_B6	SRS2378189
Anro_B6	SRS2378189
Anro_B6	SRS2378189
Anro_B6	SRS2378189
Anro_B6	SRS2378189
Anro_B6	SRS2378189
Anro_B6	SRS2378189
Anro_B6	SRS2378189
Anro_B6	SRS2378189
Anro_B6	SRS2378189
Anro_B6	SRS2378189
Anro_B6	SRS2378189
Anro_B6	SRS2378189
Anro_B6	SRS2378189
Anro_B6	SRS2378189
Anro_B6	SRS2378189
LD11_sech	SRS2378188
LD11_sech	SRS2378188
LD11_sech	SRS2378188
LD11_sech	SRS2378188
LD11_sech	SRS2378188
LD11_sech	SRS2378188
LD11_sech	SRS2378188
LD11_sech	SRS2378188
LD11_sech	SRS2378188
LD11_sech	SRS2378188
LD11_sech	SRS2378188
LD11_sech	SRS2378188
LD11_sech	SRS2378188
LD11_sech	SRS2378188
LD11_sech	SRS2378188
LD11_sech	SRS2378188
LD11_sech	SRS2378188
LD11_sech	SRS2378188
LD11_sech	SRS2378188
LD11_sech	SRS2378188
LD11_sech	SRS2378188
LD11_sech	SRS2378188
LD11_sech	SRS2378188
LD11_sech	SRS2378188
LD11_sech	SRS2378188
LD11_sech	SRS2378188
Anro_B3	SRS2378187
Anro_B3	SRS2378187
Anro_B3	SRS2378187
Anro_B3	SRS2378187
Anro_B3	SRS2378187
Anro_B3	SRS2378187
Anro_B3	SRS2378187
Anro_B3	SRS2378187
Anro_B3	SRS2378187
Anro_B3	SRS2378187
Anro_B3	SRS2378187
Anro_B3	SRS2378187
Anro_B3	SRS2378187
Anro_B3	SRS2378187
Anro_B3	SRS2378187
Anro_B3	SRS2378187
Anro_B3	SRS2378187
Anro_B3	SRS2378187
Anro_B3	SRS2378187
Anro_B3	SRS2378187
Anro_B3	SRS2378187
Anro_B3	SRS2378187
Anro_B3	SRS2378187
Anro_B3	SRS2378187
Anro_B3	SRS2378187
Anro_B3	SRS2378187
PNF10	SRS2378186
PNF10	SRS2378186
PNF10	SRS2378186
PNF10	SRS2378186
PNF10	SRS2378186
PNF10	SRS2378186
PNF10	SRS2378186
PNF10	SRS2378186
PNF10	SRS2378186
PNF10	SRS2378186
PNF10	SRS2378186
PNF10	SRS2378186
PNF10	SRS2378186
PNF10	SRS2378186
PNF10	SRS2378186
PNF10	SRS2378186
PNF10	SRS2378186
PNF10	SRS2378186
PNF10	SRS2378186
PNF10	SRS2378186
PNF10	SRS2378186
PNF10	SRS2378186
PNF10	SRS2378186
PNF10	SRS2378186
PNF10	SRS2378186
PNF10	SRS2378186
PNF11	SRS2378185
PNF11	SRS2378185
PNF11	SRS2378185
PNF11	SRS2378185
PNF11	SRS2378185
PNF11	SRS2378185
PNF11	SRS2378185
PNF11	SRS2378185
PNF11	SRS2378185
PNF11	SRS2378185
PNF11	SRS2378185
PNF11	SRS2378185
PNF11	SRS2378185
PNF11	SRS2378185
PNF11	SRS2378185
PNF11	SRS2378185
PNF11	SRS2378185
PNF11	SRS2378185
PNF11	SRS2378185
PNF11	SRS2378185
PNF11	SRS2378185
PNF11	SRS2378185
PNF11	SRS2378185
PNF11	SRS2378185
PNF11	SRS2378185
PNF11	SRS2378185
DenisNoni101	SRS2378184
DenisNoni101	SRS2378184
DenisNoni101	SRS2378184
DenisNoni101	SRS2378184
DenisNoni101	SRS2378184
DenisNoni101	SRS2378184
DenisNoni101	SRS2378184
DenisNoni101	SRS2378184
DenisNoni101	SRS2378184
DenisNoni101	SRS2378184
DenisNoni101	SRS2378184
DenisNoni101	SRS2378184
DenisNoni101	SRS2378184
DenisNoni101	SRS2378184
DenisNoni101	SRS2378184
DenisNoni101	SRS2378184
DenisNoni101	SRS2378184
DenisNoni101	SRS2378184
DenisNoni101	SRS2378184
DenisNoni101	SRS2378184
DenisNoni101	SRS2378184
DenisNoni101	SRS2378184
DenisNoni101	SRS2378184
Denis7_8	SRS2378183
Denis7_8	SRS2378183
Denis7_8	SRS2378183
Denis7_8	SRS2378183
Denis7_8	SRS2378183
Denis7_8	SRS2378183
Denis7_8	SRS2378183
Denis7_8	SRS2378183
