sampleId	In(2L)t	propSimNorm	sex
UA_Kha_14_45	0.2	0.00563016657419147	male
UA_Kha_14_46	0.17	0.00683018494464647	male
UA_Kha_15_19	0.22	0.00482562101645926	male
UA_Kha_16_58	0.17	0.00447315018524256	male
UA_Kyi_14_23	0.18	0.00397883437290947	male
UA_Kyi_14_24	0.24	0.00352288494915966	male
UA_Kyi_14_49	0.17	0.046136153504603	male
UA_Kyi_15_64	0.21	0.00428526754424649	male
UA_Kyi_16_44	0.24	0.00517164159304862	male
UA_Kyi_16_45	0.3	0.00568795492481217	male
UA_Kyi_16_59	0.16	0.00416496263166058	male
UA_Ode_14_19	0.1	0.022621872904823	male
UA_Ode_14_20	0.19	0.00334440517614023	male
UA_Ode_14_21	0.2	0.0398993456387968	male
UA_Ode_14_22	0.35	0.0525136731145105	male
UA_Ode_15_11	0.35	0.275558703019706	male
UA_Ode_15_20	0.15	0.00322537095937537	male
UA_Ode_15_22	0.15	0.138551782985829	male
UA_Ode_15_66	0.21	0.00436147628532713	male
UA_Ode_16_46	0.17	0.112222668147329	male
UA_Ode_16_47	0.19	0.0407401722718674	male
UA_Pyr_16_49	0.26	0.00414213883978499	male
UA_Uma_14_50	0.14	0.00507819775880405	male
UA_Uma_15_9	0.17	0.00348291931205177	male
UA_Uma_16_50	0.14	0.00678221989296821	male
UA_Uma_16_51	0.16	0.00699779547335631	male
UA_Var_14_25	0.24	0.00368171161569178	male
UA_Var_15_18	0.16	0.00354032483085727	male
UA_Var_16_60	0.18	0.00421511853835261	male
UA_Yal_14_16	0.16	0.00329533781960152	male
UA_Yal_14_18	0.18	0.00334877740504267	male
UA_Yal_15_23	0.13	0.00406719764950349	male
UA_Yal_15_63	0.12	0.00449627000718163	male
UA_Yal_16_61	0.08	0.00444950180680193	male
UK_Dai_15_52	0.04	0.00324018292808737	male
UK_Dai_16_23	0.04	0.0044893288544345	male
UK_Lut_14_13	0.08	0.00333503649558841	male
UK_Mar_14_12	0.01	0.00322224101817296	male
UK_Mar_15_42	0.04	0.00410330017286623	male
UK_Mar_16_53	0.13	0.0038830840663537	male
UK_She_14_09	0.14	0.00456163866687851	male
UK_She_15_17	0.24	0.00368497218933735	male
UK_Sou_14_10	0.1	0.00557638910096852	male
ES_ba_12_spring	0.45	0.00531577109211797	male
FL_ho_10_spring	0.46	0.0054346996012527	male
FL_ho_10_fall	0.24	0.0461786115086304	male
GA_ha_08_spring	0.28	0.00506706669887702	male
MA_la_12_spring	0.21	0.00512740637181282	male
MA_la_12_fall	0.22	0.00500335041893457	male
ME_bo_09_fall.r1	0.16	0.00529003441718819	male
ME_bo_09_fall.r2	0.19	0.0105511952358376	male
NY_it_12_spring	0.16	0.00526672971297051	male
NY_it_12_fall	0.17	0.00556035570256483	male
PA_li_12_spring	0.17	0.0218958476760343	male
PA_li_11_fall	0.2	0.00472708255475436	male
PA_li_12_fall	0.19	0.0502730136637945	male
PA_li_09_fall	0.11	0.0049372489392198	male
PA_li_10_fall	0.18	0.00497202180288081	male
PA_li_11_frost	0.18	0.0323016901685474	male
PA_li_09_spring	0.11	0.00514012892398941	male
PA_li_10_spring	0.23	0.005880255824975	male
PA_li_11_spring	0.14	0.00541653455938379	male
PA_li_12_sum	0.18	0.00509365048292655	male
SC_eu_10_spring	0.26	0.00535279412683221	male
VA_ch_12_spring	0.12	0.00676278593268563	male
VA_ch_12_fall	0.14	0.188913962152801	male
AT_gr_12_spring	0.12	0.00519726531955227	male
AT_gr_12_fall	0.26	0.00505758843558371	male
WI_cp_12_spring	0.06	0.00497127121725863	male
WI_cp_12_fall	0.1	0.00498704010733712	male
WI_cp_12_frost	0.13	0.00503910956304265	male
CA_es_12_spring	0.06	0.00454799968453591	male
WI_cp_13_spring	0.12	0.00376048496652044	male
WI_cp_13_fall	0.11	0.0201725564947383	male
PA_li_13_spring	0.14	0.0041031671890415	male
UA_od_13_fall	0.25	0.00359281642639496	male
UA_od_13_spring	0.17	0.00403382290978924	male
CA_es_12_fall	0.04	0.00744834560148396	male
CA_pl_12_fall	0.04	0.0124343029833145	male
GA_at_14_fall	0.42	0.00416364489042664	male
GA_at_14_spring	0.43	0.00363630807988066	male
MI_bh_14_fall	0.14	0.00376648608591044	male
MI_bh_14_spring	0.16	0.00369346919117618	male
VA_ch_14_fall	0.22	0.00357969455465443	male
VA_ch_14_spring	0.21	0.00397015025459053	male
WI_cp_14_spring	0.11	0.00366623933829437	male
WI_cp_14_fall	0.19	0.00240945105742657	male
MA_la_14_fall	0.2	0.00345793787771917	male
MA_la_14_spring	0.13	0.00375846847042986	male
PA_li_14_fall	0.19	0.00371630693769475	male
PA_li_14_spring	0.2	0.00403561877416118	male
PA_st_14_fall	0.23	0.00421706478539055	male
PA_st_14_spring	0.21	0.00396665329966375	male
KA_to_14_fall	0.22	0.00383555542610705	male
KA_to_14_spring	0.2	0.00384207323912855	male
CA_st_12_fall	0.01	0.0148832258484272	male
CA_tu_12_fall	0.07	0.00916260481171658	male
CA_st_12_frost	0	0.0289311542963528	male
CA_tu_12_frost	0.08	0.00657538445910544	male
VA_ch_15_fall	0.31	0.00352614400564104	male
VA_ch_15_spring	0.22	0.00366252184731156	male
PA_li_15_fall	0.16	0.0548608856332592	male
PA_li_15_spring	0.22	0.00405284516127793	male
PA_st_15_spring	0.14	0.00363993349807243	male
ON_su_15_spring	0.14	0.00353375480870718	male
ON_su_15_fall	0.14	0.00341881593173989	male
IL_ur_15_spring	0.18	0.00454568704647223	male
CA_pl_12_frost	0.03	0.00412346668601755	male
CA_es_12_frost	0.05	0.0208725082527637	male
CA_es_13_spring	0.06	0.0448242081145158	male
CA_tu_13_spring	0.02	0.00537912917647415	male
CA_pl_13_fall	0.08	0.0116176400988991	male
CA_tu_13_fall	0.07	0.010737730026166	male
CA_st_13_fall	0.04	0.0117666729024875	male
CA_es_13_fall	0.07	0.0131023351539468	male
CA_tu_13_frost	0.05	0.00421131044273413	male
CA_pl_13_frost	0.04	0.00463128731088107	male
