GO id		FDR	Nobs	of_interest	GO term	Supercategory	Supracategory	Genes
GO:0044446	0.00001	0.000102566	416	1	intracellular organelle part	Mitochondria	Organelle	cg9088,cg4621,cg9075,cg3762,cg3769,cg3766,cg4644,cg3782,cg15148,cg3733,cg13389,cg13387,cg13384,cg9064,cg13393,cg3753,cg3752,cg3756,cg4602,cg13399,cg17768,cg5924,cg4220,cg4212,cg4215,cg4214,cg4697,cg3399,cg16865,cg4233,cg6412,cg11188,cg13778,cg6840,cg3338,cg13773,cg4651,cg2478,cg3326,cg5526,cg5041,cg8552,cg9883,cg5037,cg12400,cg7211,cg4185,cg4184,cg9867,cg9866,cg6392,cg7238,cg7239,cg7235,cg9414,cg9894,cg7224,cg9887,cg33303,cg33304,cg4152,cg17293,cg17295,cg3294,cg6794,cg10206,cg10689,cg10685,cg10203,cg5020,cg4170,cg10692,cg18109,cg2848,cg9468,cg2830,cg18591,cg18124,cg2863,cg10653,cg10652,cg10655,cg2859,cg2807,cg7263,cg7261,cg5075,cg11926,cg10603,cg9463,cg9466,cg9465,cg17237,cg5091,cg7269,cg42658,cg1962,cg17652,cg31950,cg31956,cg15481,cg3642,cg4972,cg5827,cg5825,cg31989,cg5855,cg4995,cg31922,cg15434,cg15433,cg31917,cg34182,cg4930,cg15442,cg3605,cg13263,cg13277,cg4965,cg3639,cg11098,cg31935,cg31938,cg17642,cg2774,cg5803,cg3254,cg6766,cg11030,cg6756,cg3241,cg3248,cg4579,cg6750,cg11043,cg15880,cg15415,cg34172,cg5450,cg8954,cg5442,cg13240,cg12393,cg3210,cg5876,cg8902,cg6724,cg6712,cg4539,cg11015,cg3240,cg6743,cg3234,cg3238,cg13688,cg14535,cg3225,cg6737,cg6249,cg7578,cg14941,cg5395,cg4063,cg33695,cg33694,cg7111,cg7595,cg4087,cg4079,cg7102,cg6258,cg5363,cg6206,cg6686,cg5352,cg3166,cg4495,cg5343,cg8853,cg33650,cg6230,cg7562,cg8885,cg8409,cg14938,cg6699,cg4033,cg6214,cg11838,cg17137,cg17139,cg4901,cg11840,cg17140,cg17158,cg4916,cg18013,cg10954,cg7134,cg42522,cg31842,cg14028,cg14025,cg15356,cg14023,cg3539,cg14030,cg14040,cg4887,cg3542,cg9282,cg13137,cg7099,cg3966,cg14472,cg2637,cg13142,cg17996,cg14005,cg3515,cg14006,cg9293,cg31812,cg3980,cg14016,cg5313,cg6647,cg11397,cg3139,cg5317,cg4454,cg5300,cg8817,cg4494,cg8844,cg6667,cg7516,cg18801,cg3157,cg8849,cg4482,cg5325,cg4479,cg4478,cg5322,cg12205,cg17903,cg3561,cg4897,cg4896,cg17912,cg6620,cg17927,cg4435,cg10466,cg5277,cg7456,cg6122,cg5271,cg9662,cg7480,cg9660,cg6141,cg5287,cg6137,cg34440,cg12674,cg12602,cg3057,cg4385,cg3058,cg4389,cg8749,cg7885,cg10447,cg10449,cg6105,cg6589,cg7438,cg7424,cg3069,cg9246,cg9241,cg18340,cg33979,cg10874,cg43321,cg43322,cg9226,cg9267,cg7085,cg42448,cg10882,cg10414,cg9253,cg9252,cg3949,cg31762,cg9200,cg6176,cg13096,cg18780,cg13097,cg10839,cg10838,cg18317,cg10846,cg10859,cg9207,cg17489,cg17009,cg31729,cg4747,cg3881,cg4738,cg10805,cg3430,cg42840,cg6944,cg3433,cg4764,cg3423,cg9159,cg4701,cg6907,cg3876,cg9175,cg15636,cg5676,cg6521,cg15634,cg15632,cg3018,cg16975,cg4364,cg5216,cg6549,cg7870,cg16928,cg7810,cg4785,cg10385,cg10399,cg7833,cg3476,cg7830,cg6976,cg4799,cg5640,cg16954,cg11266,cg8669,cg7337,cg6488,cg9994,cg9543,cg7361,cg5183,cg33002,cg2903,cg10377,cg8680,cg8676,cg13400,cg10305,cg4274,cg5118,cg6444,cg5110,cg4260,cg4258,cg4291,cg5142,cg10333,cg10336,cg12511,cg42373,cg5125,cg31687,cg6094,cg2960,cg10756,cg10757,cg9595,cg9107,cg31671,cg9140,cg9138,cg2986,cg2508,cg9131,cg31641,cg32971,cg7380,cg7382,cg17332,cg15150,cg9556,cg31638,cg5198,cg10718,cg7371,cg9548,cg15161,cg15160,cg9547,cg15168,cg9100,cg10726,cg9582,cg15173,cg15171,cg42768,cg31651,cg31658,cg2937
GO:0043227	0.00002	0.000198393	454	1	membrane-bounded organelle	Mitochondria	Organelle	cg9088,cg4621,cg4629,cg9078,cg9075,cg17301,cg17302,cg3766,cg4644,cg9092,cg17329,cg17328,cg4636,cg17320,cg3736,cg13387,cg13391,cg4600,cg3753,cg3752,cg4602,cg18619,cg5924,cg6405,cg4220,cg16840,cg3365,cg4212,cg4215,cg4214,cg9934,cg4233,cg6415,cg11181,cg6412,cg11188,cg10268,cg13778,cg13775,cg3338,cg10262,cg16812,cg2478,cg3326,cg5041,cg8552,cg9883,cg5034,cg5037,cg9870,cg4185,cg4184,cg9866,cg42281,cg6388,cg7235,cg7236,cg5052,cg9894,cg5045,cg7224,cg9887,cg33304,cg4152,cg4148,cg17294,cg18144,cg10679,cg4132,cg6794,cg3289,cg10203,cg5020,cg4170,cg7664,cg4158,cg10692,cg32463,cg10691,cg9481,cg17257,cg2848,cg10631,cg10639,cg2830,cg18591,cg18124,cg9019,cg10653,cg2851,cg2855,cg2859,cg7263,cg17219,cg11924,cg17221,cg10604,cg10603,cg10600,cg2819,cg5091,cg7277,cg5092,cg10619,cg7269,cg5838,cg31957,cg31956,cg5828,cg3647,cg31989,cg3675,cg3662,cg4993,cg3664,cg5846,cg17610,cg17612,cg2762,cg15436,cg15435,cg15433,cg31917,cg34183,cg4930,cg13263,cg13271,cg13270,cg4968,cg13279,cg4965,cg2788,cg5813,cg16784,cg3639,cg11098,cg2774,cg4952,cg4957,cg5803,cg3262,cg4592,cg3254,cg4584,cg4105,cg16738,cg3242,cg3248,cg4579,cg6750,cg1099,cg5458,cg5446,cg4594,cg5442,cg4598,cg12399,cg12396,cg12393,cg5876,cg6713,cg3688,cg5869,cg6716,cg11015,cg4567,cg3234,cg34132,cg3238,cg10178,cg3227,cg7578,cg14941,cg5395,cg4063,cg7115,cg10123,cg7111,cg4079,cg6258,cg5362,cg5363,cg3178,cg5353,cg18024,cg5352,cg3166,cg5343,cg8853,cg33650,cg6230,cg5384,cg7562,cg8885,cg8409,cg14938,cg5366,cg5367,cg17137,cg11840,cg7171,cg1864,cg17161,cg18013,cg31884,cg10947,cg10949,cg9319,cg9314,cg15390,cg7138,cg31874,cg31875,cg9310,cg7134,cg9302,cg8455,cg17597,cg17593,cg43860,cg9328,cg9324,cg31842,cg14029,cg14028,cg14026,cg15356,cg3539,cg4851,cg5705,cg4881,cg5734,cg14040,cg14043,cg3544,cg17568,cg12287,cg12299,cg13142,cg17996,cg14001,cg31811,cg9296,cg5313,cg8825,cg6647,cg17932,cg12245,cg11397,cg3139,cg13109,cg5790,cg6634,cg8817,cg18806,cg4494,cg8844,cg6667,cg5336,cg7516,cg5337,cg8843,cg3157,cg8849,cg10084,cg3151,cg5325,cg33196,cg13123,cg12205,cg6601,cg4422,cg10021,cg4427,cg6604,cg6605,cg10034,cg17912,cg6627,cg17928,cg6618,cg11328,cg11324,cg6122,cg5271,cg6116,cg11322,cg34421,cg7480,cg9660,cg13994,cg10481,cg33122,cg34440,cg33113,cg4385,cg4389,cg8749,cg7885,cg10431,cg5229,cg18398,cg10449,cg13969,cg6582,cg7428,cg3069,cg12630,cg7061,cg9241,cg17018,cg3938,cg1759,cg17010,cg11723,cg33526,cg9267,cg7085,cg42448,cg18362,cg10895,cg7074,cg9252,cg9247,cg10890,cg31762,cg6167,cg18780,cg31753,cg15283,cg18317,cg9222,cg31776,cg9207,cg31729,cg10800,cg6944,cg3433,cg4764,cg31731,cg4758,cg5604,cg9159,cg3851,cg4701,cg3858,cg42830,cg45074,cg9175,cg4713,cg15636,cg5680,cg5682,cg3497,cg15634,cg15632,cg3018,cg5671,cg3491,cg7840,cg16975,cg3008,cg11289,cg5216,cg6549,cg7870,cg5204,cg5686,cg11236,cg4785,cg7818,cg10387,cg10399,cg4775,cg34345,cg5655,cg3473,cg15626,cg16957,cg4799,cg5640,cg16954,cg11266,cg5648,cg8669,cg8668,cg5155,cg8667,cg9994,cg10354,cg11201,cg10366,cg5181,cg7361,cg5182,cg5183,cg9539,cg9536,cg33002,cg2903,cg10360,cg10377,cg8683,cg9531,cg8680,cg9527,cg9528,cg8676,cg10376,cg4272,cg9958,cg5118,cg6443,cg5105,cg42366,cg6464,cg7311,cg10334,cg10336,cg12512,cg42373,cg43227,cg9962,cg5125,cg6098,cg6093,cg6094,cg2960,cg31682,cg10757,cg31679,cg31671,cg3838,cg8282,cg9131,cg31694,cg15150,cg17331,cg9554,cg5198,cg5193,cg7371,cg9547,cg15168,cg2914,cg31666,cg9100,cg10726,cg15173,cg31651,cg2939,cg9573,cg7392,cg31650
GO:0005739	0.00003	0.000285609	76	1	mitochondrion	Mitochondria	Mitochondrion	cg9078,cg3766,cg4644,cg17320,cg13391,cg4600,cg3752,cg5924,cg4233,cg6415,cg6412,cg5037,cg6388,cg7235,cg5045,cg7224,cg4132,cg32463,cg10691,cg10639,cg2830,cg18124,cg7263,cg17221,cg10603,cg7277,cg13263,cg13279,cg16784,cg4957,cg3262,cg4592,cg4594,cg4598,cg5876,cg11015,cg4567,cg34132,cg3238,cg10123,cg5362,cg5353,cg33650,cg8885,cg17137,cg9314,cg15390,cg31874,cg31842,cg14028,cg5705,cg14043,cg17996,cg6647,cg8844,cg8849,cg17928,cg4389,cg15283,cg18317,cg3433,cg16954,cg7361,cg33002,cg9531,cg8680,cg9528,cg7311,cg43227,cg6094,cg31682,cg10757,cg31679,cg9131,cg9547,cg15173
GO:0051646	0.00001	0.000102566	5	1	mitochondrion localization	Mitochondria	Mitochondrion	cg31605,cg3210,cg18317,cg43227,cg42768
GO:0043226	0.00001	0.000102566	539	1	organelle	Mitochondria	Organelle	cg31605,cg9088,cg4621,cg4629,cg9078,cg9075,cg17301,cg17302,cg3766,cg4644,cg9092,cg17329,cg17328,cg4636,cg15148,cg17320,cg3736,cg13389,cg13387,cg13391,cg4600,cg3753,cg3752,cg4602,cg18619,cg17768,cg5924,cg6405,cg4220,cg16840,cg3365,cg4212,cg4215,cg4214,cg9934,cg4233,cg6415,cg11181,cg6412,cg11188,cg10268,cg13778,cg10263,cg13775,cg3338,cg10262,cg16812,cg4651,cg2478,cg3326,cg5526,cg5041,cg8552,cg9883,cg5034,cg5037,cg9870,cg4185,cg4184,cg9866,cg42281,cg6392,cg6388,cg7235,cg7236,cg5052,cg9894,cg5045,cg7224,cg9887,cg33304,cg4152,cg4148,cg17294,cg17295,cg18144,cg10679,cg4132,cg6794,cg3289,cg10206,cg10203,cg5020,cg4170,cg5022,cg7664,cg4158,cg10692,cg32463,cg10691,cg9481,cg17257,cg18109,cg2848,cg10631,cg10639,cg2830,cg18591,cg18124,cg2863,cg9019,cg10653,cg10652,cg9493,cg2851,cg2855,cg2859,cg7263,cg17219,cg11924,cg17221,cg10602,cg10604,cg10603,cg10600,cg2819,cg5091,cg7277,cg5092,cg10619,cg7269,cg1962,cg17652,cg5838,cg31957,cg31956,cg15481,cg5827,cg5828,cg3647,cg5825,cg31989,cg3675,cg3662,cg4993,cg3664,cg5846,cg17610,cg17612,cg2762,cg15436,cg15435,cg15433,cg31917,cg34183,cg4930,cg13263,cg13271,cg13270,cg4968,cg13279,cg4965,cg2788,cg5813,cg16784,cg3639,cg11098,cg17642,cg2774,cg4952,cg4957,cg5803,cg3262,cg4592,cg3254,cg4584,cg4105,cg11030,cg16738,cg3242,cg3241,cg3248,cg4579,cg6750,cg5427,cg15415,cg1099,cg5458,cg5446,cg4594,cg5442,cg4598,cg4114,cg12399,cg12396,cg12393,cg5876,cg8902,cg6712,cg6713,cg3688,cg4539,cg5869,cg6716,cg11015,cg4567,cg3234,cg34132,cg3238,cg10178,cg3227,cg11020,cg14946,cg7578,cg14941,cg5395,cg4063,cg7115,cg10123,cg7111,cg4087,cg4079,cg6258,cg5362,cg5363,cg3178,cg5353,cg18024,cg5352,cg3166,cg5343,cg8853,cg33650,cg6230,cg5384,cg7562,cg8885,cg8409,cg14938,cg5366,cg5367,cg17137,cg4901,cg11840,cg7171,cg1864,cg17161,cg4916,cg18013,cg31884,cg10947,cg10949,cg9319,cg9314,cg15390,cg7138,cg31874,cg31875,cg9310,cg7134,cg9302,cg8455,cg17597,cg17593,cg43860,cg9328,cg9324,cg31842,cg14029,cg14028,cg14025,cg14026,cg15356,cg3539,cg14030,cg4851,cg5705,cg31860,cg4881,cg5734,cg14040,cg14043,cg3544,cg17568,cg9282,cg31802,cg12287,cg3966,cg12299,cg14472,cg2637,cg13142,cg17996,cg3994,cg14001,cg31811,cg9296,cg5313,cg8825,cg6647,cg17932,cg12245,cg11397,cg3139,cg13109,cg5790,cg6634,cg8817,cg18806,cg4494,cg8844,cg6667,cg5336,cg7516,cg5337,cg8843,cg3157,cg8849,cg10084,cg3151,cg5325,cg33196,cg13123,cg12205,cg6601,cg4422,cg10021,cg4427,cg6604,cg6605,cg3561,cg4897,cg10034,cg17912,cg6620,cg6627,cg17928,cg6618,cg5277,cg11328,cg11324,cg11323,cg6122,cg5271,cg6116,cg11322,cg34421,cg13999,cg7480,cg9660,cg13994,cg10481,cg33122,cg6141,cg6137,cg34440,cg33113,cg4385,cg4389,cg8749,cg7885,cg10431,cg5229,cg18398,cg10449,cg13969,cg6582,cg7428,cg7424,cg3069,cg12630,cg9246,cg7061,cg9242,cg9241,cg17018,cg3938,cg1759,cg17493,cg17010,cg11723,cg31794,cg33979,cg10874,cg7082,cg33526,cg9265,cg9267,cg7085,cg42448,cg18362,cg10895,cg9253,cg7074,cg9252,cg9247,cg10890,cg31762,cg6176,cg6167,cg18780,cg31753,cg15283,cg18317,cg9222,cg31776,cg6181,cg9207,cg17489,cg31729,cg10800,cg6944,cg3433,cg4764,cg31731,cg4758,cg5604,cg9159,cg3851,cg4701,cg3858,cg42830,cg45074,cg4722,cg9175,cg4713,cg15636,cg5680,cg5682,cg3497,cg15634,cg15632,cg3018,cg5671,cg3491,cg7840,cg3488,cg16975,cg3008,cg11289,cg4364,cg5216,cg6549,cg7870,cg5204,cg5686,cg11236,cg4785,cg10385,cg7818,cg10387,cg10399,cg4775,cg34345,cg5655,cg3473,cg15629,cg15627,cg15626,cg16957,cg4799,cg5640,cg16954,cg11266,cg5648,cg8669,cg7337,cg8668,cg5155,cg8667,cg9994,cg10354,cg11201,cg10366,cg5181,cg7361,cg5182,cg5183,cg9539,cg9536,cg33002,cg2903,cg10360,cg10377,cg8683,cg9531,cg8680,cg9527,cg9528,cg8676,cg13400,cg10376,cg10305,cg4274,cg4272,cg9958,cg5118,cg6443,cg5105,cg4258,cg5142,cg42366,cg6464,cg7311,cg10334,cg10333,cg10336,cg12512,cg42373,cg43227,cg9962,cg5125,cg6098,cg6093,cg6094,cg2960,cg31682,cg10757,cg31679,cg9595,cg31671,cg2986,cg3838,cg8282,cg9131,cg31694,cg15150,cg17331,cg9554,cg5198,cg9553,cg5193,cg7371,cg15161,cg9547,cg15168,cg2914,cg31666,cg9100,cg10726,cg10728,cg15173,cg42768,cg31651,cg2939,cg31658,cg9573,cg7392,cg31650
GO:0051640	0.00001	0.000102566	28	1	organelle localization	Mitochondria	Organelle	cg31605,cg3779,cg11199,cg13387,cg5559,cg13772,cg6392,cg3664,cg1099,cg3210,cg8902,cg33694,cg42555,cg9280,cg14001,cg3139,cg6605,cg7428,cg18317,cg3903,cg6944,cg6521,cg2903,cg9958,cg4260,cg43227,cg42768,cg31658
GO:0006996	0.00001	0.000102566	204	1	organelle organization	Mitochondria	Organelle	cg31605,cg9088,cg4621,cg9078,cg3766,cg4644,cg3782,cg42730,cg42731,cg4636,cg3736,cg3738,cg13387,cg3753,cg13399,cg17768,cg5924,cg5559,cg16840,cg4212,cg4215,cg4214,cg11181,cg13778,cg2478,cg10275,cg3326,cg3352,cg7210,cg4185,cg7235,cg5052,cg9885,cg17293,cg17295,cg3289,cg5022,cg10692,cg18109,cg2830,cg10653,cg7261,cg10603,cg2819,cg31956,cg5825,cg31989,cg3675,cg3664,cg17610,cg15433,cg4930,cg4965,cg3639,cg11098,cg31935,cg17642,cg2774,cg3241,cg3248,cg4579,cg6750,cg33298,cg5458,cg8954,cg12393,cg3210,cg5876,cg4537,cg6743,cg34132,cg3238,cg14941,cg5395,cg4063,cg10123,cg6258,cg5363,cg5343,cg33650,cg8409,cg17158,cg8049,cg17161,cg4916,cg18013,cg9323,cg7144,cg15390,cg10954,cg31842,cg14020,cg14025,cg14026,cg14023,cg14030,cg31852,cg13139,cg31803,cg4824,cg3515,cg14001,cg9293,cg3980,cg14016,cg5313,cg6647,cg11397,cg3139,cg8827,cg4454,cg5304,cg8817,cg4494,cg18801,cg3157,cg8849,cg5325,cg4479,cg4478,cg4428,cg6605,cg17912,cg6620,cg17927,cg7456,cg13993,cg6137,cg12674,cg33113,cg5229,cg18398,cg3069,cg9242,cg9241,cg31794,cg33979,cg43322,cg9226,cg7085,cg42448,cg10882,cg3959,cg10414,cg10895,cg9252,cg1768,cg31762,cg9200,cg6176,cg18317,cg33955,cg9207,cg17009,cg3430,cg6944,cg3423,cg9159,cg4701,cg6907,cg4713,cg15636,cg5676,cg15632,cg3018,cg5671,cg5216,cg6549,cg7870,cg16928,cg10385,cg12560,cg7833,cg5640,cg16954,cg5648,cg7337,cg11201,cg33002,cg2903,cg10360,cg8683,cg13400,cg4274,cg6444,cg7795,cg12511,cg43227,cg5125,cg9115,cg10757,cg8282,cg31641,cg7380,cg9554,cg9553,cg8222,cg10718,cg10722,cg10726,cg42768,cg31660,cg2937,cg31650
GO:0044422	0.00001	0.000102566	427	1	organelle part	Mitochondria	Organelle	cg9088,cg4621,cg9075,cg3762,cg3769,cg3766,cg4644,cg3782,cg42730,cg42731,cg15148,cg9042,cg3733,cg13389,cg13387,cg13384,cg9064,cg13393,cg3753,cg3752,cg3756,cg4602,cg13399,cg17768,cg5924,cg4220,cg4212,cg4215,cg4214,cg4697,cg3399,cg16865,cg4233,cg6412,cg11188,cg13778,cg6840,cg3338,cg13773,cg4651,cg2478,cg10275,cg3326,cg5526,cg5041,cg8552,cg9883,cg5037,cg12400,cg7211,cg4185,cg4184,cg9867,cg9866,cg6392,cg7238,cg7239,cg7235,cg9414,cg9894,cg7224,cg9887,cg33303,cg33304,cg4152,cg17293,cg17295,cg3294,cg6794,cg10206,cg10689,cg10685,cg10203,cg5020,cg4170,cg10692,cg18109,cg2848,cg9468,cg2830,cg18591,cg18124,cg2863,cg10653,cg10652,cg10655,cg2859,cg2807,cg7263,cg7261,cg5075,cg11926,cg10603,cg9463,cg9466,cg9465,cg17237,cg5091,cg7269,cg42658,cg1962,cg17652,cg31950,cg31956,cg15481,cg3642,cg4972,cg5827,cg5825,cg31989,cg5855,cg4995,cg31922,cg15434,cg15433,cg31917,cg34182,cg4930,cg15442,cg3605,cg13263,cg13277,cg4965,cg3639,cg11098,cg31935,cg31938,cg17642,cg2774,cg5803,cg3254,cg6766,cg11030,cg6756,cg3241,cg3248,cg4579,cg6750,cg11043,cg15880,cg15415,cg34172,cg5450,cg8954,cg5442,cg13240,cg12393,cg3210,cg5876,cg8902,cg6724,cg6712,cg6713,cg4539,cg11015,cg3240,cg6743,cg3234,cg3238,cg13688,cg14535,cg3225,cg6737,cg6249,cg7578,cg14941,cg5395,cg4063,cg33695,cg33694,cg7111,cg7595,cg4087,cg4079,cg7102,cg6258,cg5363,cg6206,cg6686,cg5352,cg3166,cg4495,cg5343,cg8853,cg33650,cg6230,cg7562,cg8885,cg8409,cg14938,cg6699,cg4033,cg6214,cg11838,cg17137,cg17139,cg4901,cg11840,cg17140,cg17158,cg4916,cg18013,cg10954,cg7134,cg42522,cg31842,cg14020,cg14028,cg14025,cg15356,cg14023,cg3539,cg14030,cg14040,cg4887,cg3542,cg9282,cg13137,cg7099,cg3966,cg14472,cg2637,cg13142,cg17996,cg14005,cg3515,cg14006,cg9293,cg31812,cg3980,cg14016,cg5313,cg6647,cg11397,cg3139,cg5317,cg4454,cg3127,cg5300,cg8817,cg4494,cg8844,cg6667,cg7516,cg18801,cg3157,cg8849,cg4482,cg5325,cg4479,cg4478,cg5322,cg12205,cg17903,cg3561,cg4897,cg4896,cg17912,cg6620,cg17927,cg4435,cg10466,cg5277,cg7456,cg6122,cg5271,cg9662,cg7480,cg9660,cg6141,cg5287,cg6137,cg34440,cg12674,cg10493,cg12602,cg3057,cg4385,cg3058,cg4389,cg8749,cg7885,cg10447,cg10449,cg6105,cg6589,cg7438,cg7424,cg3069,cg9246,cg9241,cg17492,cg18340,cg33979,cg10874,cg43321,cg43322,cg9226,cg9267,cg7085,cg42448,cg10882,cg10414,cg9253,cg9252,cg3949,cg1768,cg31762,cg9200,cg6176,cg13096,cg18780,cg13097,cg10839,cg10838,cg18317,cg10846,cg10859,cg9207,cg17489,cg17009,cg31729,cg4747,cg3881,cg4738,cg10805,cg3430,cg42840,cg6944,cg3433,cg4764,cg3423,cg9159,cg4701,cg6907,cg3876,cg9175,cg15636,cg5676,cg6521,cg15634,cg15632,cg3018,cg16975,cg4364,cg5216,cg6549,cg7870,cg16928,cg7810,cg4785,cg10385,cg10399,cg7833,cg3476,cg7830,cg6976,cg4799,cg5640,cg16954,cg11266,cg8669,cg7337,cg6488,cg9994,cg11201,cg9543,cg7361,cg5183,cg33002,cg2903,cg10377,cg8680,cg8676,cg13400,cg10305,cg4274,cg5118,cg6444,cg5110,cg4260,cg4258,cg4291,cg5142,cg10333,cg10336,cg12511,cg42373,cg5125,cg31687,cg6094,cg2960,cg10756,cg10757,cg9595,cg9107,cg31671,cg9140,cg9138,cg2986,cg2508,cg9131,cg31641,cg32971,cg7380,cg7382,cg17332,cg15150,cg9556,cg31638,cg5198,cg10718,cg7371,cg9548,cg15161,cg15160,cg9547,cg15168,cg9100,cg10726,cg9582,cg15173,cg15171,cg42768,cg31651,cg31658,cg2937
GO:0060361	0.00001	0.000102566	3	1	flight	Movement	Flight	cg7254,cg17927,cg42768
GO:0042332	0.00079	0.005029669	2	1	gravitaxis	Movement	Gravitaxis	cg4799,cg7392
GO:0040011	0.00001	0.000102566	77	1	locomotion	Movement	Locomotion	cg3779,cg15138,cg9093,cg4636,cg4698,cg11181,cg10263,cg13788,cg10275,cg13780,cg7210,cg42281,cg9885,cg5481,cg10697,cg9491,cg7254,cg5092,cg3664,cg17610,cg5803,cg8930,cg4114,cg5869,cg3234,cg4552,cg13687,cg34124,cg11020,cg12789,cg7123,cg3166,cg5343,cg17158,cg11864,cg9317,cg31873,cg43860,cg7147,cg14026,cg18405,cg9280,cg4824,cg13109,cg6667,cg5336,cg8843,cg10034,cg17927,cg5279,cg10449,cg10443,cg7061,cg7075,cg18317,cg3903,cg5680,cg6521,cg3018,cg7870,cg6504,cg7830,cg6509,cg34378,cg4799,cg9506,cg2903,cg10377,cg6464,cg10334,cg31641,cg15154,cg9554,cg8222,cg17348,cg42768,cg7392
GO:0042331	0.00007	0.000522663	5	1	phototaxis	Movement	Phototaxis	cg13788,cg5092,cg3234,cg13687,cg9317
GO:0009629	0.00079	0.005029669	2	1	response to gravity	Movement	Grvitaxis	cg4799,cg7392
GO:0001964	0.00004	0.000368417	1	1	startle response	Movement	Startle	cg11020
GO:0048747	0.00165	0.009111445	1	1	muscle fiber development	Muscle	At-Large	cg3166
GO:0007517	0.00001	0.000102566	9	1	muscle organ development	Muscle	At-Large	cg10275,cg14941,cg3166,cg5343,cg43860,cg17927,cg11326,cg34340,cg42768
GO:0061061	0.00001	0.000102566	20	1	muscle structure development	Muscle	At-Large	cg9088,cg3324,cg10275,cg7664,cg11924,cg5092,cg14941,cg3166,cg5343,cg43860,cg3127,cg8846,cg4426,cg17927,cg11326,cg5671,cg34340,cg6464,cg9554,cg42768
GO:0060537	0.00001	0.000102566	3	1	muscle tissue development	Muscle	At-Large	cg16858,cg7147,cg42768
GO:0048232	0.00001	0.000102566	28	1	male gamete generation	Reproduction	Sperm	cg9078,cg4214,cg5983,cg12404,cg8552,cg7235,cg4965,cg4579,cg17174,cg17176,cg5352,cg31801,cg8749,cg10443,cg6589,cg3959,cg1768,cg10846,cg6944,cg14341,cg5204,cg6504,cg11201,cg7795,cg9131,cg9554,cg9553,cg9573
GO:0001673	0.00007	0.000522663	2	1	male germ cell nucleus	Reproduction	Sperm	cg15632,cg5648
GO:0007060	0.00085	0.005328453	2	1	male meiosis chromosome segregation	Reproduction	Sperm	cg31989,cg17009
GO:0022414	0.00117	0.007054473	233	1	reproductive process	Reproduction	At-Large	cg31605,cg9088,cg9078,cg9075,cg3766,cg31622,cg17797,cg9093,cg42730,cg42731,cg4636,cg15148,cg9046,cg9048,cg3736,cg3733,cg3738,cg4605,cg9050,cg4694,cg4215,cg4698,cg4214,cg4249,cg3399,cg11181,cg11188,cg16874,cg13772,cg13787,cg13788,cg2478,cg5983,cg10275,cg12404,cg9884,cg8552,cg44007,cg4180,cg7210,cg4184,cg42281,cg7235,cg12437,cg5052,cg9885,cg5481,cg4145,cg4148,cg8982,cg10697,cg18109,cg2830,cg9024,cg9019,cg9491,cg17213,cg42677,cg5092,cg5825,cg31989,cg5855,cg3664,cg5848,cg31926,cg31929,cg17610,cg13263,cg4965,cg5813,cg3639,cg31931,cg31930,cg31932,cg31936,cg4952,cg5803,cg5423,cg3248,cg4579,cg8930,cg4114,cg12399,cg5869,cg6743,cg3234,cg4552,cg6730,cg5395,cg7123,cg7111,cg5363,cg5354,cg17174,cg17176,cg14916,cg5352,cg3166,cg5343,cg8890,cg10528,cg17158,cg8049,cg17161,cg4916,cg7138,cg15396,cg31873,cg42522,cg7157,cg43860,cg7147,cg14026,cg14030,cg14039,cg4881,cg5722,cg31801,cg4824,cg14472,cg2637,cg14016,cg6647,cg8827,cg13109,cg6634,cg4494,cg6667,cg5336,cg8843,cg3157,cg13113,cg3151,cg4479,cg4478,cg6601,cg6604,cg6605,cg10034,cg6620,cg17927,cg6122,cg6116,cg13998,cg13997,cg9660,cg12676,cg6137,cg4385,cg8749,cg13948,cg4379,cg6555,cg10449,cg10443,cg6589,cg7438,cg7061,cg9241,cg3938,cg31794,cg33979,cg7085,cg3959,cg10895,cg7074,cg9252,cg1768,cg31762,cg6176,cg31755,cg15287,cg10846,cg17009,cg3903,cg31744,cg31748,cg6944,cg3423,cg14341,cg4722,cg4713,cg15636,cg5680,cg3018,cg5671,cg3488,cg16975,cg6549,cg5204,cg5686,cg7818,cg6504,cg6509,cg4799,cg5648,cg9999,cg5155,cg9506,cg11201,cg2903,cg10377,cg8683,cg8676,cg4274,cg4260,cg6433,cg6464,cg7795,cg12517,cg10334,cg43227,cg6093,cg31671,cg31695,cg9131,cg31641,cg7380,cg9556,cg17330,cg15154,cg10719,cg9554,cg9553,cg8222,cg10718,cg10722,cg31662,cg31666,cg10728,cg42768,cg31661,cg9573
